Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1.0,11376.123,20.0,1.0,0.0
,,,,,,,2.0,10852.129,20.0,0.0,1.0
,,,,,,,3.0,10457.849,20.0,0.0,1.0
,,,,,,,4.0,10231.728,20.0,0.0,1.0
,,,,,,,5.0,10190.673,20.0,0.0,1.0
,,,,,,,6.0,10407.376,20.0,0.0,1.0
,,,,,,,7.0,10771.918,20.0,0.0,1.0
,,,,,,,8.0,11071.57,20.0,0.0,1.0
,,,,,,,9.0,11575.386,20.0,0.0,1.0
,,,,,,,10.0,12230.931,20.0,0.0,1.0
,,,,,,,11.0,12722.814,20.0,0.0,1.0
,,,,,,,12.0,13000.758,20.0,0.0,1.0
,,,,,,,13.0,13096.665,20.0,0.0,1.0
,,,,,,,14.0,13038.76,20.0,0.0,1.0
,,,,,,,15.0,13036.506,20.0,0.0,1.0
,,,,,,,16.0,13263.105,20.0,0.0,1.0
,,,,,,,17.0,14298.419,20.0,0.0,1.0
,,,,,,,18.0,15311.064,20.0,0.0,1.0
,,,,,,,19.0,15167.846,20.0,0.0,1.0
,,,,,,,20.0,14763.304,20.0,0.0,1.0
,,,,,,,21.0,14199.123,20.0,0.0,1.0
,,,,,,,22.0,13380.73,20.0,0.0,1.0
,,,,,,,23.0,12384.992,20.0,0.0,1.0
,,,,,,,24.0,11558.067,20.0,0.0,1.0
,,,,,,,25.0,11023.505,20.0,0.0,1.0
,,,,,,,26.0,10793.157,20.0,0.0,1.0
,,,,,,,27.0,10758.36,20.0,0.0,1.0
,,,,,,,28.0,10879.66,20.0,0.0,1.0
,,,,,,,29.0,11325.741,20.0,0.0,1.0
,,,,,,,30.0,12470.02,20.0,0.0,1.0
,,,,,,,31.0,14283.593,20.0,0.0,1.0
,,,,,,,32.0,15352.204,20.0,0.0,1.0
,,,,,,,33.0,15565.223,20.0,0.0,1.0
,,,,,,,34.0,15592.115,20.0,0.0,1.0
,,,,,,,35.0,15614.643,20.0,0.0,1.0
,,,,,,,36.0,15564.756,20.0,0.0,1.0
,,,,,,,37.0,15405.19,20.0,0.0,1.0
,,,,,,,38.0,15310.484,20.0,0.0,1.0
,,,,,,,39.0,15260.523,20.0,0.0,1.0
,,,,,,,40.0,15440.686,20.0,0.0,1.0
,,,,,,,41.0,16382.447,20.0,0.0,1.0
,,,,,,,42.0,17313.8,20.0,0.0,1.0
,,,,,,,43.0,17226.18,20.0,0.0,1.0
,,,,,,,44.0,16811.462,20.0,0.0,1.0
,,,,,,,45.0,16138.503,20.0,0.0,1.0
,,,,,,,46.0,15117.632,20.0,0.0,1.0
,,,,,,,47.0,13824.487,20.0,0.0,1.0
,,,,,,,48.0,12709.911,20.0,0.0,1.0
,,,,,,,49.0,11972.105,20.0,0.0,1.0
,,,,,,,50.0,11568.17,20.0,0.0,1.0
,,,,,,,51.0,11358.879,20.0,0.0,1.0
,,,,,,,52.0,11340.404,20.0,0.0,1.0
,,,,,,,53.0,11637.774,20.0,0.0,1.0
,,,,,,,54.0,12575.179,20.0,0.0,1.0
,,,,,,,55.0,14159.4,20.0,0.0,1.0
,,,,,,,56.0,15182.878,20.0,0.0,1.0
,,,,,,,57.0,15387.797,20.0,0.0,1.0
,,,,,,,58.0,15417.992,20.0,0.0,1.0
,,,,,,,59.0,15340.56,20.0,0.0,1.0
,,,,,,,60.0,15209.626,20.0,0.0,1.0
,,,,,,,61.0,15070.779,20.0,0.0,1.0
,,,,,,,62.0,14947.27,20.0,0.0,1.0
,,,,,,,63.0,14857.118,20.0,0.0,1.0
,,,,,,,64.0,14966.122,20.0,0.0,1.0
,,,,,,,65.0,15771.938,20.0,0.0,1.0
,,,,,,,66.0,16660.616,20.0,0.0,1.0
,,,,,,,67.0,16570.51,20.0,0.0,1.0
,,,,,,,68.0,16144.497,20.0,0.0,1.0
,,,,,,,69.0,15516.247,20.0,0.0,1.0
,,,,,,,70.0,14562.429,20.0,0.0,1.0
,,,,,,,71.0,13332.235,20.0,0.0,1.0
,,,,,,,72.0,12257.718,20.0,0.0,1.0
,,,,,,,73.0,11558.896,20.0,0.0,1.0
,,,,,,,74.0,11169.45,20.0,0.0,1.0
,,,,,,,75.0,10996.846,20.0,0.0,1.0
,,,,,,,76.0,11020.235,20.0,0.0,1.0
,,,,,,,77.0,11378.317,20.0,0.0,1.0
,,,,,,,78.0,12383.462,20.0,0.0,1.0
,,,,,,,79.0,14074.12,20.0,0.0,1.0
,,,,,,,80.0,15034.885,20.0,0.0,1.0
,,,,,,,81.0,15159.743,20.0,0.0,1.0
,,,,,,,82.0,15117.622,20.0,0.0,1.0
,,,,,,,83.0,15094.013,20.0,0.0,1.0
,,,,,,,84.0,14990.829,20.0,0.0,1.0
,,,,,,,85.0,14789.768,20.0,0.0,1.0
,,,,,,,86.0,14642.091,20.0,0.0,1.0
,,,,,,,87.0,14491.95,20.0,0.0,1.0
,,,,,,,88.0,14546.323,20.0,0.0,1.0
,,,,,,,89.0,15297.625,20.0,0.0,1.0
,,,,,,,90.0,15958.901,20.0,0.0,1.0
,,,,,,,91.0,15734.483,20.0,0.0,1.0
,,,,,,,92.0,15264.057,20.0,0.0,1.0
,,,,,,,93.0,14704.377,20.0,0.0,1.0
,,,,,,,94.0,13961.931,20.0,0.0,1.0
,,,,,,,95.0,12991.862,20.0,0.0,1.0
,,,,,,,96.0,11996.426,20.0,0.0,1.0
,,,,,,,97.0,11269.885,20.0,0.0,1.0
,,,,,,,98.0,10812.551,20.0,0.0,1.0
,,,,,,,99.0,10555.47,20.0,0.0,1.0
,,,,,,,100.0,10471.757,20.0,0.0,1.0
,,,,,,,101.0,10561.818,20.0,0.0,1.0
,,,,,,,102.0,10936.915,20.0,0.0,1.0
,,,,,,,103.0,11598.031,20.0,0.0,1.0
,,,,,,,104.0,12362.439,20.0,0.0,1.0
,,,,,,,105.0,13170.145,20.0,0.0,1.0
,,,,,,,106.0,13871.495,20.0,0.0,1.0
