Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
1,1.0,1.0,1.0,0.0,0.7318,0.7327,0.7327,1.0
2,1.0,1.0,1.0,0.0,0.7077,0.642,0.642,1.0
3,1.0,1.0,1.0,0.0,0.6906,0.5847,0.5847,1.0
4,1.0,1.0,1.0,0.0,0.7077,0.5455,0.5455,1.0
5,1.0,1.0,1.0,0.0,0.725,0.4771,0.4771,1.0
6,1.0,1.0,1.0,0.0,0.695,0.4321,0.4321,1.0
7,1.0,1.0,1.0,0.0,0.5613,0.4057,0.4057,1.0
8,1.0,1.0,1.0,0.01,0.5796,0.4287,0.4287,1.0
9,1.0,1.0,1.0,0.118026,0.609,0.4568,0.4568,1.0
10,1.0,1.0,1.0,0.285107,0.68,0.4667,0.4667,1.0
11,1.0,1.0,1.0,0.286077,0.7268,0.4581,0.4581,1.0
12,1.0,1.0,1.0,0.269329,0.686,0.482,0.482,1.0
13,1.0,1.0,1.0,0.315456,0.742,0.5934,0.5934,1.0
14,1.0,1.0,1.0,0.393372,0.7819,0.69,0.69,1.0
15,1.0,1.0,1.0,0.20765,0.7744,0.7825,0.7825,1.0
16,1.0,1.0,1.0,0.070588,0.7535,0.8606,0.8606,1.0
17,1.0,1.0,1.0,0.007994,0.718,0.8885,0.8885,1.0
18,1.0,1.0,1.0,0.0,0.83,0.8976,0.8976,1.0
19,1.0,1.0,1.0,0.0,0.8365,0.899,0.899,1.0
20,1.0,1.0,1.0,0.0,0.8329,0.8944,0.8944,1.0
21,1.0,1.0,1.0,0.0,0.8216,0.8943,0.8943,1.0
22,1.0,1.0,1.0,0.0,0.8004,0.8918,0.8918,1.0
23,1.0,1.0,1.0,0.0,0.7941,0.8865,0.8865,1.0
24,1.0,1.0,1.0,0.0,0.7996,0.8745,0.8745,1.0
25,1.0,1.0,1.0,0.0,0.7974,0.866,0.866,1.0
26,1.0,1.0,1.0,0.0,0.7768,0.8538,0.8538,1.0
27,1.0,1.0,1.0,0.0,0.7695,0.8485,0.8485,1.0
28,1.0,1.0,1.0,0.0,0.8058,0.806,0.806,1.0
29,1.0,1.0,1.0,0.0,0.8161,0.7333,0.7333,1.0
30,1.0,1.0,1.0,0.0,0.8232,0.7058,0.7058,1.0
31,1.0,1.0,1.0,0.0,0.8047,0.6683,0.6683,1.0
32,1.0,1.0,1.0,0.010797,0.8106,0.6265,0.6265,1.0
33,1.0,1.0,1.0,0.136259,0.8015,0.5892,0.5892,1.0
34,1.0,1.0,1.0,0.33587,0.788,0.6002,0.6002,1.0
35,1.0,1.0,1.0,0.485758,0.7506,0.5861,0.5861,1.0
36,1.0,1.0,1.0,0.569,0.7515,0.599,0.599,1.0
37,1.0,1.0,1.0,0.535808,0.7628,0.6015,0.6015,1.0
38,1.0,1.0,1.0,0.462535,0.7556,0.6058,0.6058,1.0
39,1.0,1.0,1.0,0.287219,0.7535,0.6449,0.6449,1.0
40,1.0,1.0,1.0,0.102996,0.7337,0.6459,0.6459,1.0
41,1.0,1.0,1.0,0.006993,0.7731,0.6834,0.6834,1.0
42,1.0,1.0,1.0,0.0,0.7818,0.688,0.688,1.0
43,1.0,1.0,1.0,0.0,0.7884,0.7284,0.7284,1.0
44,1.0,1.0,1.0,0.0,0.7901,0.7464,0.7464,1.0
45,1.0,1.0,1.0,0.0,0.7623,0.7517,0.7517,1.0
46,1.0,1.0,1.0,0.0,0.8054,0.7351,0.7351,1.0
47,1.0,1.0,1.0,0.0,0.8077,0.6553,0.6553,1.0
48,1.0,1.0,1.0,0.0,0.8074,0.5837,0.5837,1.0
49,1.0,1.0,1.0,0.0,0.8105,0.5216,0.5216,1.0
50,1.0,1.0,1.0,0.0,0.7631,0.5051,0.5051,1.0
51,1.0,1.0,1.0,0.0,0.7475,0.5166,0.5166,1.0
52,1.0,1.0,1.0,0.0,0.736,0.5555,0.5555,1.0
53,1.0,1.0,1.0,0.0,0.6774,0.5042,0.5042,1.0
54,1.0,1.0,1.0,0.0,0.6448,0.484,0.484,1.0
55,1.0,1.0,1.0,0.0,0.6646,0.4368,0.4368,1.0
56,1.0,1.0,1.0,0.005209,0.6924,0.3925,0.3925,1.0
57,1.0,1.0,1.0,0.055933,0.6992,0.3514,0.3514,1.0
58,1.0,1.0,1.0,0.172704,0.7288,0.3274,0.3274,1.0
59,1.0,1.0,1.0,0.297782,0.7264,0.3067,0.3067,1.0
60,1.0,1.0,1.0,0.341632,0.6914,0.2805,0.2805,1.0
61,1.0,1.0,1.0,0.391028,0.745,0.257,0.257,1.0
62,1.0,1.0,1.0,0.358275,0.805,0.2417,0.2417,1.0
63,1.0,1.0,1.0,0.219183,0.8093,0.2361,0.2361,1.0
64,1.0,1.0,1.0,0.095104,0.7878,0.2991,0.2991,1.0
65,1.0,1.0,1.0,0.005409,0.7967,0.3501,0.3501,1.0
66,1.0,1.0,1.0,0.0,0.8006,0.4804,0.4804,1.0
67,1.0,1.0,1.0,0.0,0.818,0.5823,0.5823,1.0
68,1.0,1.0,1.0,0.0,0.8184,0.7495,0.7495,1.0
69,1.0,1.0,1.0,0.0,0.8211,0.833,0.833,1.0
70,1.0,1.0,1.0,0.0,0.8182,0.8909,0.8909,1.0
71,1.0,1.0,1.0,0.0,0.795,0.8972,0.8972,1.0
72,1.0,1.0,1.0,0.0,0.8032,0.9011,0.9011,1.0
73,1.0,1.0,1.0,0.0,0.7867,0.9052,0.9052,1.0
74,1.0,1.0,1.0,0.0,0.7858,0.9057,0.9057,1.0
75,1.0,1.0,1.0,0.0,0.7265,0.9047,0.9047,1.0
76,1.0,1.0,1.0,0.0,0.623,0.8976,0.8976,1.0
77,1.0,1.0,1.0,0.0,0.6706,0.8974,0.8974,1.0
78,1.0,1.0,1.0,0.0,0.5796,0.8951,0.8951,1.0
79,1.0,1.0,1.0,0.0,0.5389,0.8566,0.8566,1.0
80,1.0,1.0,1.0,0.009787,0.5631,0.8208,0.8208,1.0
81,1.0,1.0,1.0,0.128398,0.4035,0.7795,0.7795,1.0
82,1.0,1.0,1.0,0.323622,0.2845,0.7157,0.7157,1.0
