Time_Index,NG,nuclear_fuel,NGCCS
0,0.056877747,0.0,0.005388525
1,8.661,0.66,9.616079999999998
2,8.661,0.66,9.61608
3,8.660999999999998,0.66,9.616079999999998
4,8.661,0.66,9.61608
5,8.661,0.6599999999999998,9.61608
6,8.275000000000002,0.66,9.230080000000001
7,7.424,0.66,8.37908
8,7.424,0.66,8.37908
9,7.4239999999999995,0.6599999999999998,8.379080000000002
10,7.424,0.66,8.37908
11,7.424000000000001,0.6599999999999999,8.379080000000002
12,6.456584070796459,0.6600000000000001,7.411664070796461
13,6.408,0.66,7.36308
14,6.408,0.66,7.36308
15,6.408,0.66,7.36308
16,6.408,0.6599999999999999,7.363079999999997
17,6.606,0.66,7.56108
18,6.606,0.66,7.56108
19,6.606,0.66,7.56108
20,6.606,0.6599999999999997,7.56108
21,6.606,0.66,7.56108
22,6.606,0.66,7.56108
23,6.606,0.66,7.56108
24,6.606,0.66,7.56108
25,6.606,0.66,7.56108
26,6.606,0.66,7.56108
27,6.605999999999999,0.6599999999999998,7.561079999999997
28,6.606,0.66,7.56108
29,6.606,0.66,7.56108
30,6.606,0.66,7.56108
31,6.606,0.66,7.56108
32,6.606,0.66,7.56108
33,6.606,0.66,7.56108
34,6.606,0.66,7.56108
35,6.606,0.66,7.5610800000000005
36,6.606,0.66,7.56108
37,6.606,0.66,7.56108
38,6.606,0.66,7.56108
39,6.605999999999998,0.6599999999999999,7.5610800000000005
40,6.605999999999999,0.66,7.56108
41,6.605999999999999,0.66,7.56108
42,6.606,0.66,7.56108
43,6.606,0.66,7.56108
44,6.606,0.66,7.56108
45,6.606,0.66,7.56108
46,6.605999999999999,0.6600000000000001,7.56108
47,6.606,0.66,7.56108
48,6.685401197604792,0.66,7.640481197604791
49,6.801,0.66,7.75608
50,6.801,0.66,7.75608
51,6.801,0.66,7.75608
52,6.801000000000001,0.6599999999999999,7.756079999999999
53,6.801,0.66,7.75608
54,6.801,0.66,7.75608
55,6.801,0.66,7.75608
56,6.846499596448749,0.66,7.801579596448748
57,6.796,0.66,7.75108
58,6.796,0.66,7.751079999999999
59,6.796000000000001,0.66,7.75108
60,6.796,0.66,7.75108
61,6.796,0.66,7.75108
62,6.796000000000002,0.66,7.751080000000001
63,6.796,0.66,7.75108
64,6.796,0.66,7.751079999999999
65,6.796,0.66,7.75108
66,6.832107279693488,0.6599999999999999,7.787187279693488
67,6.948,0.66,7.90308
68,6.948,0.66,7.90308
69,6.948,0.66,7.90308
70,6.948,0.66,7.903080000000001
71,7.519999999999998,0.66,8.475080000000002
72,7.52,0.66,8.47508
73,7.519999999999997,0.6599999999999999,8.475080000000002
74,7.52,0.66,8.47508
75,7.5200000000000005,0.66,8.475079999999998
76,7.52,0.66,8.47508
77,7.519999999999996,0.6599999999999999,8.475080000000002
78,8.236000000000002,0.6599999999999999,9.191080000000001
79,8.236,0.66,9.19108
