Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
1.0,1.0,1.0,1.0,8736.0,8736.0,50000.0,1,12774.356,1,1,0,1
,,,,,,,2,14431.601220338982,1,0,1,59
,,,,,,,3,16151.616,1,0,1,1
,,,,,,,4,15476.905,1,0,1,1
,,,,,,,5,16269.628986803522,1,0,1,682
,,,,,,,6,16040.757150837993,1,0,1,179
,,,,,,,7,18089.074,1,0,1,1
,,,,,,,8,15660.902536697247,1,0,1,218
,,,,,,,9,15385.52,1,0,1,1
,,,,,,,10,15790.089766666662,1,0,1,90
,,,,,,,11,16545.670000000002,1,0,1,6
,,,,,,,12,14892.32892655368,1,0,1,177
,,,,,,,13,14510.149102272728,1,0,1,176
,,,,,,,14,16270.055,1,0,1,1
,,,,,,,15,14324.944569536423,1,0,1,151
,,,,,,,16,15428.303,1,0,1,1
,,,,,,,17,14086.146043478264,1,0,1,46
,,,,,,,18,14843.349,1,0,1,1
,,,,,,,19,14541.985229508196,1,0,1,183
,,,,,,,20,14224.946,1,0,1,1
,,,,,,,21,14834.851,1,0,1,1
,,,,,,,22,15171.5745,1,0,1,6
,,,,,,,23,14800.065,1,0,1,1
,,,,,,,24,13727.706333333335,1,0,1,24
,,,,,,,25,14750.849,1,0,1,1
,,,,,,,26,13752.489023255812,1,0,1,43
,,,,,,,27,12965.871,1,0,1,1
,,,,,,,28,13335.256555555556,1,0,1,18
,,,,,,,29,15015.963,1,0,1,1
,,,,,,,30,15289.977,1,0,1,1
,,,,,,,31,14356.414034482767,1,0,1,87
,,,,,,,32,13358.88417948718,1,0,1,39
,,,,,,,33,14294.636,1,0,1,1
,,,,,,,34,13707.641217013883,1,0,1,288
,,,,,,,35,14572.575,1,0,1,1
,,,,,,,36,14174.712,1,0,1,1
,,,,,,,37,13639.175613300496,1,0,1,406
,,,,,,,38,14243.731,1,0,1,1
,,,,,,,39,14169.005,1,0,1,1
,,,,,,,40,12907.43405263158,1,0,1,19
,,,,,,,41,14502.48,1,0,1,1
,,,,,,,42,14153.774,1,0,1,1
,,,,,,,43,13141.753765624999,1,0,1,64
,,,,,,,44,10731.471,1,0,1,1
,,,,,,,45,11852.357,1,0,1,1
,,,,,,,46,13779.095381679386,1,0,1,262
,,,,,,,47,11376.5,1,0,1,1
,,,,,,,48,11833.33,1,0,1,1
,,,,,,,49,13293.46759541986,1,0,1,262
,,,,,,,50,11831.707,1,0,1,1
