Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,2,8736,131040.0,1,12075.821835008783,1,1,0,1
,,,,,,69888.0,2,10980.504605946875,1,0,1,6
,,,,,,,3,11611.47616682884,1,0,1,1
,,,,,,,4,12242.144035318275,1,0,1,1
,,,,,,,5,12853.578052280745,1,0,1,1
,,,,,,,6,13369.18024760009,1,0,1,3
,,,,,,,7,13336.955110392631,1,0,1,1
,,,,,,,8,13194.017224308029,1,0,1,1
,,,,,,,9,13260.829550664856,1,0,1,1
,,,,,,,10,12518.042247007868,1,0,1,16
,,,,,,,11,13123.459358443319,1,0,1,1
,,,,,,,12,14010.949760216494,1,0,1,1
,,,,,,,13,14825.0140901955,1,0,1,3
,,,,,,,14,14790.831824236175,1,0,1,1
,,,,,,,15,14727.765037387231,1,0,1,1
,,,,,,,16,14547.152422829196,1,0,1,18
,,,,,,,17,16757.442527469604,1,0,1,1
,,,,,,,18,16940.012270779505,1,0,1,2
,,,,,,,19,16902.506260301925,1,0,1,1
,,,,,,,20,16860.49547933513,1,0,1,1
,,,,,,,21,16780.118226111917,1,0,1,1
,,,,,,,22,17653.99308561995,1,0,1,2
,,,,,,,23,19747.091670342554,1,0,1,1
,,,,,,,24,16125.436966298785,1,0,1,14
,,,,,,,25,18291.696494536354,1,0,1,1
,,,,,,,26,18255.10156123637,1,0,1,2
,,,,,,,27,17960.216248088742,1,0,1,2
,,,,,,,28,17604.33937944113,1,0,1,2
,,,,,,,29,17702.33079143114,1,0,1,1
,,,,,,,30,18922.263132228283,1,0,1,1
,,,,,,,31,19905.011714458687,1,0,1,1
,,,,,,,32,19757.21475009359,1,0,1,1
,,,,,,,33,19285.47923369539,1,0,1,1
,,,,,,,34,18538.39594806906,1,0,1,1
,,,,,,,35,14131.67471701883,1,0,1,7
,,,,,,,36,12928.185150045869,1,0,1,1
,,,,,,,37,13999.206987705295,1,0,1,1
,,,,,,,38,16016.736782086426,1,0,1,1
,,,,,,,39,17301.99673087691,1,0,1,3
,,,,,,,40,17357.13377192087,1,0,1,1
,,,,,,,41,17123.594322064513,1,0,1,1
,,,,,,,42,16900.684105946737,1,0,1,1
,,,,,,,43,16803.907463526848,1,0,1,1
,,,,,,,44,16665.018809342662,1,0,1,1
,,,,,,,45,15492.70993484094,1,0,1,18
,,,,,,,46,16812.005927327675,1,0,1,1
,,,,,,,47,16767.464376423126,1,0,1,1
,,,,,,,48,16296.606193603351,1,0,1,3
,,,,,,,49,15857.298276007636,1,0,1,1
,,,,,,,50,15920.567524451599,1,0,1,1
,,,,,,,51,17290.878214950353,1,0,1,2
,,,,,,,52,16882.93497278326,1,0,1,3
,,,,,,,53,15394.167377397816,1,0,1,1
,,,,,,,54,14215.840894377428,1,0,1,1
,,,,,,,55,12989.935936527178,1,0,1,1
,,,,,,,56,11843.244077728772,1,0,1,8
,,,,,,,57,14114.812558462107,1,0,1,1
,,,,,,,58,14650.728400481861,1,0,1,1
,,,,,,,59,14805.813982267704,1,0,1,1
,,,,,,,60,14547.928525610107,1,0,1,2
,,,,,,,61,14102.968555153397,1,0,1,1
,,,,,,,62,13873.174644804918,1,0,1,1
,,,,,,,63,14001.535296048032,1,0,1,1
,,,,,,,64,12858.905322999728,1,0,1,16
,,,,,,,65,13081.549808274038,1,0,1,1
,,,,,,,66,13784.80015857839,1,0,1,1
,,,,,,,67,14432.70257034396,1,0,1,4
,,,,,,,68,14393.399713210569,1,0,1,1
,,,,,,,69,14579.158226642048,1,0,1,1
,,,,,,,70,15825.005651601836,1,0,1,1
,,,,,,,71,13970.44056941277,1,0,1,12
,,,,,,,72,13267.308321705517,1,0,1,1
,,,,,,,73,16068.111411822923,1,0,1,2
,,,,,,,74,16824.457315421452,1,0,1,1
,,,,,,,75,16860.697940930153,1,0,1,1
,,,,,,,76,16467.59850803799,1,0,1,5
,,,,,,,77,16063.201718143671,1,0,1,1
,,,,,,,78,17141.613404021355,1,0,1,1
,,,,,,,79,18554.592875670714,1,0,1,2
,,,,,,,80,17674.391091318284,1,0,1,2
,,,,,,,81,16110.881423771043,1,0,1,1
,,,,,,,82,12595.388903230618,1,0,1,8
,,,,,,,83,15824.347651418018,1,0,1,2
,,,,,,,84,16463.7719838921,1,0,1,1
,,,,,,,85,16555.68954803149,1,0,1,1
,,,,,,,86,16583.123094156792,1,0,1,1
,,,,,,,87,16433.301513841485,1,0,1,1
,,,,,,,88,16179.920827673099,1,0,1,1
,,,,,,,89,16034.249710055714,1,0,1,1
,,,,,,,90,15879.771513054931,1,0,1,1
,,,,,,,91,15922.602263481556,1,0,1,10
,,,,,,,92,11826.79407313334,1,0,1,1
,,,,,,,93,11654.701717365757,1,0,1,1
,,,,,,,94,12353.194220187122,1,0,1,3
,,,,,,,95,15427.57354057623,1,0,1,1
,,,,,,,96,16548.704623003276,1,0,1,1
,,,,,,,97,16554.576009258875,1,0,1,1
,,,,,,,98,16460.3807521755,1,0,1,2
,,,,,,,99,16187.56375288513,1,0,1,2
,,,,,,,100,15884.428129740407,1,0,1,2
,,,,,,,101,15100.040118129224,1,0,1,43
,,,,,,,102,16217.612427946115,1,0,1,3
,,,,,,,103,16044.474020604259,1,0,1,1
,,,,,,,104,15950.835532907191,1,0,1,1
,,,,,,,105,14671.671266060912,1,0,1,17
,,,,,,,106,14949.055560744839,1,0,1,1
,,,,,,,107,15680.549303554577,1,0,1,1
,,,,,,,108,16006.613702335391,1,0,1,1
,,,,,,,109,15950.633071312172,1,0,1,1
,,,,,,,110,15692.292076065776,1,0,1,1
,,,,,,,111,15417.247999230174,1,0,1,1
,,,,,,,112,15252.64672247836,1,0,1,1
,,,,,,,113,15346.285210175425,1,0,1,1
,,,,,,,114,14856.404073323498,1,0,1,16
,,,,,,,115,15498.43509883347,1,0,1,1
,,,,,,,116,16237.419920658973,1,0,1,1
,,,,,,,117,16721.25251735965,1,0,1,2
,,,,,,,118,16688.352508168795,1,0,1,2
,,,,,,,119,16469.744600945207,1,0,1,1
,,,,,,,120,16578.365246673806,1,0,1,1
,,,,,,,121,17646.653852800453,1,0,1,1
,,,,,,,122,19040.50070372036,1,0,1,1
,,,,,,,123,15889.894592805964,1,0,1,10
,,,,,,,124,13963.776208576675,1,0,1,1
