Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,omega,Rel_TimeStep
50000,1,1,1,8,8736,43680.0,1,12993.71,5.0,1
,,,,,,8736.0,2,12666.472,5.0,1
,,,,,,8736.0,3,12555.899,5.0,1
,,,,,,26208.0,4,12478.042,5.0,1
,,,,,,8736.0,5,12815.009,5.0,1
,,,,,,61152.00000000001,6,13901.738,5.0,1
,,,,,,17472.0,7,14972.068,5.0,1
,,,,,,26208.0,8,15549.652,5.0,1
,,,,,,,9,17541.364,5.0,1
,,,,,,,10,17643.738,5.0,1
,,,,,,,11,17484.199,5.0,1
,,,,,,,12,17114.147,5.0,1
,,,,,,,13,16782.014,5.0,1
,,,,,,,14,16614.322,5.0,1
,,,,,,,15,16403.017,5.0,1
,,,,,,,16,16832.337,5.0,1
,,,,,,,17,18087.87,5.0,1
,,,,,,,18,19753.808,5.0,1
,,,,,,,19,19545.545,5.0,1
,,,,,,,20,19023.222,5.0,1
,,,,,,,21,18238.549,5.0,1
,,,,,,,22,16838.602,5.0,1
,,,,,,,23,15122.417,5.0,1
,,,,,,,24,13928.505,5.0,1
,,,,,,,25,13293.959,5.0,1
,,,,,,,26,12719.475,5.0,1
,,,,,,,27,12400.054,5.0,1
,,,,,,,28,12488.407,5.0,1
,,,,,,,29,12922.709,5.0,1
,,,,,,,30,14309.287,5.0,1
,,,,,,,31,16853.262,5.0,1
,,,,,,,32,18021.245,5.0,1
,,,,,,,33,17193.278,5.0,1
,,,,,,,34,17284.444,5.0,1
,,,,,,,35,17019.009,5.0,1
,,,,,,,36,17091.843,5.0,1
,,,,,,,37,16969.665,5.0,1
,,,,,,,38,16918.613,5.0,1
,,,,,,,39,16422.88,5.0,1
,,,,,,,40,16836.486,5.0,1
,,,,,,,41,17680.112,5.0,1
,,,,,,,42,18879.409,5.0,1
,,,,,,,43,18710.413,5.0,1
,,,,,,,44,18120.389,5.0,1
,,,,,,,45,17460.461,5.0,1
,,,,,,,46,16550.818,5.0,1
,,,,,,,47,14911.331,5.0,1
,,,,,,,48,13710.229,5.0,1
,,,,,,,49,12698.731,5.0,1
,,,,,,,50,12128.738,5.0,1
,,,,,,,51,12041.628,5.0,1
,,,,,,,52,12117.091,5.0,1
,,,,,,,53,12610.576,5.0,1
,,,,,,,54,13648.339,5.0,1
,,,,,,,55,15299.322,5.0,1
,,,,,,,56,16727.641,5.0,1
,,,,,,,57,17019.399,5.0,1
,,,,,,,58,16984.982,5.0,1
,,,,,,,59,16909.34,5.0,1
,,,,,,,60,17088.87,5.0,1
,,,,,,,61,16813.545,5.0,1
,,,,,,,62,16700.429,5.0,1
,,,,,,,63,16575.753,5.0,1
,,,,,,,64,16481.237,5.0,1
,,,,,,,65,17389.055,5.0,1
,,,,,,,66,18039.268,5.0,1
,,,,,,,67,17562.411,5.0,1
,,,,,,,68,17098.248,5.0,1
,,,,,,,69,17217.466,5.0,1
,,,,,,,70,16414.7,5.0,1
,,,,,,,71,15096.894,5.0,1
,,,,,,,72,13873.918,5.0,1
,,,,,,,73,12993.701,5.0,1
,,,,,,,74,12709.375,5.0,1
,,,,,,,75,12555.731,5.0,1
