Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,2,8736,96096.0,1,13086.443184281863
,,,,,,104832.0,2,12576.10847314148
,,,,,,,3,12349.711861774736
,,,,,,,4,12331.866504964624
,,,,,,,5,12631.504623481855
,,,,,,,6,13682.123201246997
,,,,,,,7,15476.678329092529
,,,,,,,8,16234.10267173053
,,,,,,,9,16742.62058350876
,,,,,,,10,17347.002941544284
,,,,,,,11,16771.814296702858
,,,,,,,12,16958.825609498497
,,,,,,,13,16497.12643038982
,,,,,,,14,16336.649044391264
,,,,,,,15,16120.110561453082
,,,,,,,16,16196.542041712111
,,,,,,,17,16551.274330383374
,,,,,,,18,18236.63263592683
,,,,,,,19,17809.729050016304
,,,,,,,20,17479.614540249615
,,,,,,,21,17417.06726302083
,,,,,,,22,16487.255514526656
,,,,,,,23,16044.080409910759
,,,,,,,24,14648.40471322324
,,,,,,,25,13729.655079307753
,,,,,,,26,13357.987308980684
,,,,,,,27,13113.672550791483
,,,,,,,28,13240.525869331099
,,,,,,,29,13442.780787819958
,,,,,,,30,14774.71112302146
,,,,,,,31,17255.71738052296
,,,,,,,32,18491.994753962485
,,,,,,,33,18690.69378198345
,,,,,,,34,18501.16432822022
,,,,,,,35,18375.53958705112
,,,,,,,36,18286.271489750307
,,,,,,,37,17751.50884392674
,,,,,,,38,17559.287143355592
,,,,,,,39,17043.695812945378
,,,,,,,40,16952.32664177474
,,,,,,,41,17780.934698241286
,,,,,,,42,18799.272872829413
,,,,,,,43,17969.98118043612
,,,,,,,44,17939.323797804613
,,,,,,,45,17377.102595297423
,,,,,,,46,16803.89993741441
,,,,,,,47,15759.618025318476
,,,,,,,48,14591.321605164347
,,,,,,,49,13878.25785680605
,,,,,,,50,13357.915502617156
,,,,,,,51,13169.646102986537
,,,,,,,52,13240.474719592696
,,,,,,,53,13442.274208679995
,,,,,,,54,14551.746462371862
,,,,,,,55,16485.225263371543
,,,,,,,56,17895.487488343548
,,,,,,,57,17846.64834100704
,,,,,,,58,18052.390294546713
,,,,,,,59,18003.556065454286
,,,,,,,60,17917.24284919512
,,,,,,,61,17403.613898171756
,,,,,,,62,17074.464347893034
,,,,,,,63,17011.618041424346
,,,,,,,64,17390.64645583752
,,,,,,,65,18025.779643142017
,,,,,,,66,19341.792573211715
,,,,,,,67,19282.845450647517
,,,,,,,68,18710.780874444
,,,,,,,69,17911.12061896769
,,,,,,,70,15993.34970590212
,,,,,,,71,14844.093775868889
,,,,,,,72,13641.45227367409
,,,,,,,73,12951.340986775784
,,,,,,,74,12617.913547798616
,,,,,,,75,12487.027269115606
,,,,,,,76,12561.005529228876
,,,,,,,77,13265.984667972887
,,,,,,,78,14406.91892902731
,,,,,,,79,16530.71902108666
,,,,,,,80,17746.229600734154
,,,,,,,81,18095.721008516633
,,,,,,,82,18237.849409511557
,,,,,,,83,18085.663199378534
,,,,,,,84,17681.446489747825
,,,,,,,85,16712.21796592046
,,,,,,,86,16198.791646553072
,,,,,,,87,16500.621334631156
,,,,,,,88,17130.002143662834
,,,,,,,89,17308.443907978173
,,,,,,,90,18450.06967414986
,,,,,,,91,17977.412647236935
,,,,,,,92,17508.18462009471
,,,,,,,93,16912.234099705325
,,,,,,,94,16020.942038824645
,,,,,,,95,14755.305699190025
,,,,,,,96,13650.561845354083
,,,,,,,97,12894.178203162837
,,,,,,,98,12652.803571283053
,,,,,,,99,12794.916233896933
,,,,,,,100,13093.349382615223
,,,,,,,101,13349.738430014218
,,,,,,,102,14539.019030348598
,,,,,,,103,16544.238290406374
,,,,,,,104,17667.95672989258
,,,,,,,105,18019.565933574744
,,,,,,,106,17336.751353589538
,,,,,,,107,16073.06952415124
,,,,,,,108,16341.78074026153
,,,,,,,109,16495.768995024482
,,,,,,,110,16082.483043315213
,,,,,,,111,16574.796324507515
,,,,,,,112,17063.35796911765
,,,,,,,113,17733.07133052972
,,,,,,,114,18480.2391669689
,,,,,,,115,18289.88836644476
,,,,,,,116,17822.40434865235
,,,,,,,117,17164.289190423395
,,,,,,,118,16272.59088258193
,,,,,,,119,14581.396588616335
,,,,,,,120,13399.834680536886
,,,,,,,121,12472.607961129748
,,,,,,,122,11969.88865911867
,,,,,,,123,11604.653952044722
,,,,,,,124,11517.700380406692
,,,,,,,125,11912.768172404789
,,,,,,,126,12994.128726599565
,,,,,,,127,15067.405664550342
,,,,,,,128,16735.670120978702
,,,,,,,129,16418.045983870747
,,,,,,,130,16820.2678537037
,,,,,,,131,17462.796112802847
,,,,,,,132,17327.847364511974
,,,,,,,133,16960.712247926556
,,,,,,,134,16879.174646666463
,,,,,,,135,17244.760516367525
,,,,,,,136,16452.757966919587
,,,,,,,137,17078.21401717757
,,,,,,,138,17852.7656529904
,,,,,,,139,17933.755361860283
,,,,,,,140,17771.801518989723
,,,,,,,141,16933.547802238754
,,,,,,,142,15811.517304119885
,,,,,,,143,14444.486444587435
,,,,,,,144,13421.229042273186
,,,,,,,145,12584.272758309813
,,,,,,,146,12268.920849965576
,,,,,,,147,12162.064128195489
,,,,,,,148,12207.784125138163
,,,,,,,149,12648.367315125319
,,,,,,,150,13681.12971594338
,,,,,,,151,15159.246003503587
,,,,,,,152,16581.257913576286
,,,,,,,153,17072.249170760613
,,,,,,,154,17219.019410515702
,,,,,,,155,17025.070422624605
,,,,,,,156,16792.640109423817
,,,,,,,157,16466.25953056062
,,,,,,,158,16178.397655662098
,,,,,,,159,16069.972997680165
,,,,,,,160,16558.800227470474
