natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.4379,0.7539,0.7539,1.0,1
1.0,1.0,1.0,0.0,0.5854,0.744,0.744,1.0,2
1.0,1.0,1.0,0.0106,0.3226,0.23,0.23,1.0,3
1.0,1.0,1.0,0.132354,0.19,0.1967,0.1967,1.0,4
1.0,1.0,1.0,0.328015,0.099,0.1741,0.1741,1.0,5
1.0,1.0,1.0,0.596698,0.056,0.1798,0.1798,1.0,6
1.0,1.0,1.0,0.395351,0.064,0.2183,0.2183,1.0,7
1.0,1.0,1.0,0.257541,0.1152,0.3286,0.3286,1.0,8
1.0,1.0,1.0,0.09329,0.1474,0.4628,0.4628,1.0,9
1.0,1.0,1.0,0.091806,0.5372,0.915,0.915,1.0,10
1.0,1.0,1.0,0.213239,0.4665,0.8896,0.8896,1.0,11
1.0,1.0,1.0,0.364691,0.4547,0.8978,0.8978,1.0,12
1.0,1.0,1.0,0.278584,0.6075,0.9033,0.9033,1.0,13
1.0,1.0,1.0,0.17026,0.4939,0.9009,0.9009,1.0,14
1.0,1.0,1.0,0.132337,0.8445,0.8893,0.8893,1.0,15
1.0,1.0,1.0,0.338389,0.4898,0.6107,0.6107,1.0,16
1.0,1.0,1.0,0.487236,0.6012,0.5923,0.5923,1.0,17
1.0,1.0,1.0,0.352403,0.5939,0.5958,0.5958,1.0,18
1.0,1.0,1.0,0.222918,0.6467,0.6241,0.6241,1.0,19
1.0,1.0,1.0,0.106462,0.7856,0.8971,0.8971,1.0,20
1.0,1.0,1.0,0.104363,0.5348,0.6187,0.6187,1.0,21
1.0,1.0,1.0,0.353561,0.4817,0.5576,0.5576,1.0,22
1.0,1.0,1.0,0.244365,0.3412,0.3627,0.3627,1.0,23
1.0,1.0,1.0,0.072045,0.2908,0.284,0.284,1.0,24
1.0,1.0,1.0,0.006393,0.3797,0.3879,0.3879,1.0,25
1.0,1.0,1.0,0.0,0.3333,0.4868,0.4868,1.0,26
1.0,1.0,1.0,0.0,0.4253,0.6133,0.6133,1.0,27
1.0,1.0,1.0,0.0,0.5264,0.8539,0.8539,1.0,28
1.0,1.0,1.0,0.0,0.3792,0.5803,0.5803,1.0,29
1.0,1.0,1.0,0.002791,0.4419,0.4799,0.4799,1.0,30
1.0,1.0,1.0,0.111709,0.2376,0.4186,0.4186,1.0,31
1.0,1.0,1.0,0.276724,0.2254,0.4331,0.4331,1.0,32
1.0,1.0,1.0,0.244795,0.3334,0.4198,0.4198,1.0,33
1.0,1.0,1.0,0.168974,0.4032,0.4838,0.4838,1.0,34
1.0,1.0,1.0,0.117418,0.5234,0.5401,0.5401,1.0,35
1.0,1.0,1.0,0.060264,0.6562,0.6455,0.6455,1.0,36
1.0,1.0,1.0,0.0,0.3111,0.3228,0.3228,1.0,37
1.0,1.0,1.0,0.005605,0.2102,0.2942,0.2942,1.0,38
1.0,1.0,1.0,0.07248,0.196,0.3736,0.3736,1.0,39
1.0,1.0,1.0,0.207934,0.1683,0.4916,0.4916,1.0,40
1.0,1.0,1.0,0.375158,0.2777,0.8444,0.8444,1.0,41
1.0,1.0,1.0,0.094072,0.0684,0.4954,0.4954,1.0,42
1.0,1.0,1.0,0.256919,0.0371,0.5456,0.5456,1.0,43
1.0,1.0,1.0,0.41483,0.0712,0.5623,0.5623,1.0,44
1.0,1.0,1.0,0.559438,0.0945,0.604,0.604,1.0,45
1.0,1.0,1.0,0.436413,0.0494,0.6111,0.6111,1.0,46
1.0,1.0,1.0,0.25339,0.0554,0.6263,0.6263,1.0,47
1.0,1.0,1.0,0.095325,0.0765,0.6466,0.6466,1.0,48
1.0,1.0,1.0,0.009785,0.6634,0.7645,0.7645,1.0,49
1.0,1.0,1.0,0.104374,0.4357,0.3986,0.3986,1.0,50
1.0,1.0,1.0,0.220517,0.3906,0.3867,0.3867,1.0,51
1.0,1.0,1.0,0.347966,0.434,0.3194,0.3194,1.0,52
1.0,1.0,1.0,0.181068,0.3393,0.26,0.26,1.0,53
1.0,1.0,1.0,0.059437,0.3315,0.2894,0.2894,1.0,54
1.0,1.0,1.0,0.002593,0.3577,0.3216,0.3216,1.0,55
1.0,1.0,1.0,0.0,0.5527,0.5612,0.5612,1.0,56
1.0,1.0,1.0,0.0,0.3711,0.2518,0.2518,1.0,57
1.0,1.0,1.0,0.344314,0.3987,0.2038,0.2038,1.0,58
1.0,1.0,1.0,0.0,0.378,0.1077,0.1077,1.0,59
1.0,1.0,1.0,0.0,0.5297,0.1483,0.1483,1.0,60
1.0,1.0,1.0,0.0,0.6164,0.2108,0.2108,1.0,61
1.0,1.0,1.0,0.0,0.5564,0.2172,0.2172,1.0,62
1.0,1.0,1.0,0.006201,0.5185,0.2942,0.2942,1.0,63
1.0,1.0,1.0,0.068874,0.5654,0.3515,0.3515,1.0,64
1.0,1.0,1.0,0.132204,0.5776,0.4213,0.4213,1.0,65
1.0,1.0,1.0,0.166445,0.5149,0.5071,0.5071,1.0,66
1.0,1.0,1.0,0.360215,0.4329,0.6569,0.6569,1.0,67
1.0,1.0,1.0,0.289152,0.4083,0.7158,0.7158,1.0,68
1.0,1.0,1.0,0.17197,0.2977,0.6991,0.6991,1.0,69
1.0,1.0,1.0,0.063004,0.7435,0.8709,0.8709,1.0,70
1.0,1.0,1.0,0.0,0.546,0.3405,0.3405,1.0,71
1.0,1.0,1.0,0.301002,0.5121,0.2871,0.2871,1.0,72
1.0,1.0,1.0,0.476921,0.1161,0.0907,0.0907,1.0,73
1.0,1.0,1.0,0.360582,0.2262,0.2834,0.2834,1.0,74
1.0,1.0,1.0,0.0,0.1557,0.3304,0.3304,1.0,75
1.0,1.0,1.0,0.0,0.1713,0.4299,0.4299,1.0,76
1.0,1.0,1.0,0.08893,0.5431,0.9092,0.9092,1.0,77
1.0,1.0,1.0,0.2696,0.3648,0.911,0.911,1.0,78
1.0,1.0,1.0,0.073086,0.8452,0.9123,0.9123,1.0,79
1.0,1.0,1.0,0.178785,0.7849,0.901,0.901,1.0,80
1.0,1.0,1.0,0.335731,0.7415,0.8932,0.8932,1.0,81
1.0,1.0,1.0,0.470343,0.7129,0.8826,0.8826,1.0,82
1.0,1.0,1.0,0.570042,0.6593,0.882,0.882,1.0,83
1.0,1.0,1.0,0.460782,0.7192,0.8639,0.8639,1.0,84
1.0,1.0,1.0,0.340625,0.6795,0.8511,0.8511,1.0,85
1.0,1.0,1.0,0.135994,0.7498,0.8032,0.8032,1.0,86
1.0,1.0,1.0,0.143766,0.7827,0.9056,0.9056,1.0,87
1.0,1.0,1.0,0.343683,0.6614,0.7761,0.7761,1.0,88
1.0,1.0,1.0,0.543254,0.6598,0.7882,0.7882,1.0,89
1.0,1.0,1.0,0.359332,0.7708,0.7595,0.7595,1.0,90
1.0,1.0,1.0,0.106392,0.8104,0.8983,0.8983,1.0,91
1.0,1.0,1.0,0.0,0.735,0.3265,0.3265,1.0,92
1.0,1.0,1.0,0.0,0.6875,0.2669,0.2669,1.0,93
1.0,1.0,1.0,0.010186,0.6465,0.2172,0.2172,1.0,94
1.0,1.0,1.0,0.134161,0.5445,0.1441,0.1441,1.0,95
1.0,1.0,1.0,0.325662,0.3861,0.0907,0.0907,1.0,96
1.0,1.0,1.0,0.590115,0.2216,0.0473,0.0473,1.0,97
1.0,1.0,1.0,0.249583,0.1828,0.1073,0.1073,1.0,98
1.0,1.0,1.0,0.092988,0.2251,0.2452,0.2452,1.0,99
1.0,1.0,1.0,0.007793,0.5297,0.5726,0.5726,1.0,100
1.0,1.0,1.0,0.0,0.6115,0.7686,0.7686,1.0,101
1.0,1.0,1.0,0.278317,0.857,0.9145,0.9145,1.0,102
1.0,1.0,1.0,0.145764,0.85,0.9085,0.9085,1.0,103
1.0,1.0,1.0,0.333306,0.8332,0.9079,0.9079,1.0,104
1.0,1.0,1.0,0.568888,0.8802,0.9076,0.9076,1.0,105
1.0,1.0,1.0,0.328542,0.8756,0.9049,0.9049,1.0,106
1.0,1.0,1.0,0.12704,0.8693,0.9062,0.9062,1.0,107
1.0,1.0,1.0,0.011799,0.8522,0.9086,0.9086,1.0,108
1.0,1.0,1.0,0.011419,0.2188,0.4167,0.4167,1.0,109
1.0,1.0,1.0,0.129585,0.1466,0.3298,0.3298,1.0,110
1.0,1.0,1.0,0.262988,0.1189,0.2512,0.2512,1.0,111
1.0,1.0,1.0,0.417347,0.0603,0.209,0.209,1.0,112
1.0,1.0,1.0,0.557099,0.1043,0.1334,0.1334,1.0,113
1.0,1.0,1.0,0.302017,0.2226,0.0974,0.0974,1.0,114
1.0,1.0,1.0,0.0,0.2514,0.1661,0.1661,1.0,115
1.0,1.0,1.0,0.075682,0.5426,0.8493,0.8493,1.0,116
1.0,1.0,1.0,0.186361,0.4632,0.7802,0.7802,1.0,117
1.0,1.0,1.0,0.291327,0.4674,0.7134,0.7134,1.0,118
1.0,1.0,1.0,0.477158,0.4073,0.7255,0.7255,1.0,119
1.0,1.0,1.0,0.307348,0.4962,0.716,0.716,1.0,120
1.0,1.0,1.0,0.138036,0.7849,0.7097,0.7097,1.0,121
1.0,1.0,1.0,0.0,0.7569,0.4317,0.4317,1.0,122
1.0,1.0,1.0,0.0,0.724,0.3924,0.3924,1.0,123
1.0,1.0,1.0,0.0,0.7142,0.2615,0.2615,1.0,124
1.0,1.0,1.0,0.0,0.4175,0.1167,0.1167,1.0,125
1.0,1.0,1.0,0.0,0.3209,0.0906,0.0906,1.0,126
1.0,1.0,1.0,0.003787,0.2052,0.1211,0.1211,1.0,127
1.0,1.0,1.0,0.025957,0.1484,0.3025,0.3025,1.0,128
1.0,1.0,1.0,0.060099,0.5259,0.8924,0.8924,1.0,129
1.0,1.0,1.0,0.009483,0.3693,0.6377,0.6377,1.0,130
1.0,1.0,1.0,0.089403,0.2127,0.621,0.621,1.0,131
1.0,1.0,1.0,0.259492,0.1339,0.567,0.567,1.0,132
1.0,1.0,1.0,0.460798,0.0622,0.5554,0.5554,1.0,133
1.0,1.0,1.0,0.409988,0.062,0.3974,0.3974,1.0,134
1.0,1.0,1.0,0.307314,0.0757,0.3886,0.3886,1.0,135
1.0,1.0,1.0,0.177522,0.0734,0.3264,0.3264,1.0,136
1.0,1.0,1.0,0.081119,0.406,0.2948,0.2948,1.0,137
1.0,1.0,1.0,0.0,0.6229,0.2867,0.2867,1.0,138
1.0,1.0,1.0,0.013564,0.484,0.5948,0.5948,1.0,139
1.0,1.0,1.0,0.094098,0.4073,0.7319,0.7319,1.0,140
1.0,1.0,1.0,0.18478,0.6798,0.9009,0.9009,1.0,141
1.0,1.0,1.0,0.189685,0.2798,0.6988,0.6988,1.0,142
1.0,1.0,1.0,0.389066,0.2823,0.5294,0.5294,1.0,143
1.0,1.0,1.0,0.50917,0.3614,0.5127,0.5127,1.0,144
1.0,1.0,1.0,0.575841,0.2889,0.4583,0.4583,1.0,145
1.0,1.0,1.0,0.502902,0.369,0.4589,0.4589,1.0,146
1.0,1.0,1.0,0.34852,0.4453,0.5048,0.5048,1.0,147
1.0,1.0,1.0,0.17077,0.4478,0.5515,0.5515,1.0,148
1.0,1.0,1.0,0.190886,0.7807,0.7859,0.7859,1.0,149
1.0,1.0,1.0,0.271339,0.6693,0.6571,0.6571,1.0,150
1.0,1.0,1.0,0.326904,0.5887,0.5965,0.5965,1.0,151
1.0,1.0,1.0,0.208315,0.6686,0.6062,0.6062,1.0,152
1.0,1.0,1.0,0.099319,0.7541,0.6489,0.6489,1.0,153
1.0,1.0,1.0,0.016007,0.7796,0.6374,0.6374,1.0,154
1.0,1.0,1.0,0.0,0.7913,0.6584,0.6584,1.0,155
1.0,1.0,1.0,0.0,0.7886,0.4853,0.4853,1.0,156
1.0,1.0,1.0,0.0,0.7225,0.4483,0.4483,1.0,157
1.0,1.0,1.0,0.0,0.7061,0.3077,0.3077,1.0,158
