Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,1,8736,200928.0,1,11998.282403627723,1,1,0,1
,,,,,,,2,10909.998259045178,1,0,1,6
,,,,,,,3,11536.91832126172,1,0,1,1
,,,,,,,4,12163.536641109158,1,0,1,1
,,,,,,,5,12771.044610913093,1,0,1,1
,,,,,,,6,13283.336099798531,1,0,1,3
,,,,,,,7,13251.31788174319,1,0,1,1
,,,,,,,8,13109.297806683067,1,0,1,1
,,,,,,,9,13175.681127886808,1,0,1,1
,,,,,,,10,12473.047397092341,1,0,1,17
,,,,,,,11,13920.984779583358,1,0,1,1
,,,,,,,12,14729.821963442073,1,0,1,3
,,,,,,,13,14695.859183452483,1,0,1,1
,,,,,,,14,14633.19735146774,1,0,1,1
,,,,,,,15,14453.744459173284,1,0,1,18
,,,,,,,16,16649.842185005637,1,0,1,1
,,,,,,,17,16818.817911706068,1,0,1,3
,,,,,,,18,16752.233428922922,1,0,1,1
,,,,,,,19,16672.372281899028,1,0,1,1
,,,,,,,20,16412.240777142797,1,0,1,17
,,,,,,,21,18174.244633738825,1,0,1,1
,,,,,,,22,17991.388758059427,1,0,1,4
,,,,,,,23,17491.30107165791,1,0,1,2
,,,,,,,24,17588.66327609006,1,0,1,1
,,,,,,,25,19402.77192609675,1,0,1,3
,,,,,,,26,19161.646246249624,1,0,1,1
,,,,,,,27,18419.36001824415,1,0,1,1
,,,,,,,28,14040.934555645874,1,0,1,7
,,,,,,,29,12845.172652923939,1,0,1,1
,,,,,,,30,15632.366916373745,1,0,1,3
,,,,,,,31,17249.404272423064,1,0,1,2
,,,,,,,32,17129.662842282072,1,0,1,2
,,,,,,,33,16792.16400243487,1,0,1,1
,,,,,,,34,16696.008767479147,1,0,1,1
,,,,,,,35,16558.01192400713,1,0,1,1
,,,,,,,36,15592.490501748563,1,0,1,13
,,,,,,,37,12375.460365012617,1,0,1,1
,,,,,,,38,15106.999924826969,1,0,1,3
,,,,,,,39,16679.31235638851,1,0,1,1
,,,,,,,40,16704.055230655358,1,0,1,1
,,,,,,,41,14452.581684286264,1,0,1,22
,,,,,,,42,14024.180669818265,1,0,1,1
,,,,,,,43,14556.655370504031,1,0,1,1
,,,,,,,44,14710.745140328472,1,0,1,1
,,,,,,,45,14454.515578561004,1,0,1,2
,,,,,,,46,14012.412717423056,1,0,1,1
,,,,,,,47,13784.094324798067,1,0,1,1
,,,,,,,48,13911.630766141012,1,0,1,1
,,,,,,,49,12776.337674971195,1,0,1,16
,,,,,,,50,12997.552549323435,1,0,1,1
,,,,,,,51,13696.287295387665,1,0,1,1
,,,,,,,52,14340.029494681974,1,0,1,4
,,,,,,,53,14300.979003079925,1,0,1,1
,,,,,,,54,14485.544752184265,1,0,1,1
,,,,,,,55,15723.392531054636,1,0,1,1
,,,,,,,56,13880.735700237354,1,0,1,12
,,,,,,,57,13182.118298427777,1,0,1,1
,,,,,,,58,16381.78523673995,1,0,1,11
,,,,,,,59,18435.452944596575,1,0,1,2
,,,,,,,60,17560.902978132137,1,0,1,2
,,,,,,,61,15255.591278147665,1,0,1,2
,,,,,,,62,12230.336654155952,1,0,1,7
,,,,,,,63,15722.738755921568,1,0,1,2
,,,,,,,64,16358.057314078284,1,0,1,1
,,,,,,,65,16449.38467112828,1,0,1,1
,,,,,,,66,16476.642065137694,1,0,1,1
,,,,,,,67,16201.905638064938,1,0,1,2
,,,,,,,68,15931.293023369988,1,0,1,1
,,,,,,,69,15777.806738283763,1,0,1,1
,,,,,,,70,14653.837966383144,1,0,1,14
,,,,,,,71,13202.234456368304,1,0,1,1
,,,,,,,72,16185.722189001783,1,0,1,5
,,,,,,,73,16083.622629374635,1,0,1,2
,,,,,,,74,16456.364977933645,1,0,1,10
,,,,,,,75,12880.375929319862,1,0,1,1
,,,,,,,76,12021.415985259331,1,0,1,1
,,,,,,,77,14764.604629262876,1,0,1,33
,,,,,,,78,16026.060243427815,1,0,1,5
,,,,,,,79,14592.77504965058,1,0,1,18
,,,,,,,80,15579.86374414897,1,0,1,1
,,,,,,,81,15903.83446778117,1,0,1,1
,,,,,,,82,15848.21329107561,1,0,1,1
,,,,,,,83,15591.531115754477,1,0,1,1
,,,,,,,84,15318.253110132408,1,0,1,1
,,,,,,,85,15154.70874607592,1,0,1,1
,,,,,,,86,15247.74597655086,1,0,1,1
,,,,,,,87,14798.534420187752,1,0,1,17
,,,,,,,88,16133.158668303184,1,0,1,1
,,,,,,,89,16613.88455268694,1,0,1,2
,,,,,,,90,16508.794390912637,1,0,1,3
,,,,,,,91,16048.304403504768,1,0,1,14
,,,,,,,92,14698.876607143562,1,0,1,1
,,,,,,,93,16057.723076026206,1,0,1,1
,,,,,,,94,17061.519357258538,1,0,1,1
,,,,,,,95,17765.584885177002,1,0,1,1
,,,,,,,96,18172.333598734476,1,0,1,1
,,,,,,,97,18043.86678508678,1,0,1,4
,,,,,,,98,17445.335650763802,1,0,1,1
,,,,,,,99,17459.31638053247,1,0,1,1
,,,,,,,100,15203.425051568393,1,0,1,40
,,,,,,,101,15953.219635525165,1,0,1,1
,,,,,,,102,16072.106128953683,1,0,1,1
,,,,,,,103,16182.166658085795,1,0,1,4
,,,,,,,104,16058.326560764423,1,0,1,1
,,,,,,,105,16176.911311823833,1,0,1,1
,,,,,,,106,15603.097906570281,1,0,1,15
,,,,,,,107,17776.246448885482,1,0,1,1
,,,,,,,108,17823.82116241483,1,0,1,1
,,,,,,,109,17761.96397674771,1,0,1,1
,,,,,,,110,17676.47030550047,1,0,1,1
,,,,,,,111,17217.285473578024,1,0,1,3
,,,,,,,112,17127.936205392176,1,0,1,3
,,,,,,,113,18915.22331147816,1,0,1,1
,,,,,,,114,15013.070878016662,1,0,1,15
,,,,,,,115,16874.237926832222,1,0,1,1
,,,,,,,116,16934.586400653807,1,0,1,1
,,,,,,,117,16726.887069917862,1,0,1,3
,,,,,,,118,16374.854305958623,1,0,1,1
,,,,,,,119,17582.309922873847,1,0,1,6
,,,,,,,120,16473.121737498102,1,0,1,1
,,,,,,,121,14748.161194097855,1,0,1,2
,,,,,,,122,12750.827872182863,1,0,1,5
,,,,,,,123,12961.846368978999,1,0,1,1
,,,,,,,124,13741.347489174446,1,0,1,1
,,,,,,,125,14663.673330747639,1,0,1,1
,,,,,,,126,16196.172533051888,1,0,1,2
,,,,,,,127,15707.610926194147,1,0,1,21
,,,,,,,128,14380.437826945008,1,0,1,1
