Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,4,8736,43680.0,1,13041.801464721246
,,,,,,78624.0,2,12533.20765588227
,,,,,,34944.0,3,12307.583350167399
,,,,,,43680.0,4,12289.798869135599
,,,,,,,5,12588.41483360622
,,,,,,,6,13635.44944136108
,,,,,,,7,15423.882812085501
,,,,,,,8,16178.723356771969
,,,,,,,9,16685.506563887557
,,,,,,,10,17287.827195344296
,,,,,,,11,16714.600688710772
,,,,,,,12,16900.97405073072
,,,,,,,13,16440.84986377116
,,,,,,,14,16280.919913493733
,,,,,,,15,16065.120107222181
,,,,,,,16,16141.290857146827
,,,,,,,17,16494.813049298587
,,,,,,,18,18174.422100306205
,,,,,,,19,17748.97480850809
,,,,,,,20,17419.986416752257
,,,,,,,21,17357.652506744038
,,,,,,,22,16431.012620514954
,,,,,,,23,15989.349316963555
,,,,,,,24,14598.434681946632
,,,,,,,25,13682.819174158933
,,,,,,,26,13312.419272277017
,,,,,,,27,13068.937943826213
,,,,,,,28,13195.358528261393
,,,,,,,29,13396.923495537094
,,,,,,,30,14724.310223307526
,,,,,,,31,17196.85303631033
,,,,,,,32,18428.91310279891
,,,,,,,33,18626.934309798457
,,,,,,,34,18438.05139693288
,,,,,,,35,18312.85519882824
,,,,,,,36,18223.891621350675
,,,,,,,37,17690.953208722498
,,,,,,,38,17499.387233097354
,,,,,,,39,16985.554736868125
,,,,,,,40,16894.49725290374
,,,,,,,41,17720.2786827643
,,,,,,,42,18735.143005323444
,,,,,,,43,17908.68027162003
,,,,,,,44,17878.12747036779
,,,,,,,45,17317.82417029596
,,,,,,,46,16746.576875833267
,,,,,,,47,15705.857317511045
,,,,,,,48,14541.546301214768
,,,,,,,49,13830.91502372994
,,,,,,,50,13312.347710866185
,,,,,,,51,13124.720553716721
,,,,,,,52,13195.307553009843
,,,,,,,53,13396.41864448807
,,,,,,,54,14502.106160913123
,,,,,,,55,16428.989295145664
,,,,,,,56,17834.440699494557
,,,,,,,57,17785.76815690223
,,,,,,,58,17990.80826392315
,,,,,,,59,17942.140622797324
,,,,,,,60,17856.121846390175
,,,,,,,61,17344.245035292603
,,,,,,,62,17016.21831126316
,,,,,,,63,16953.586392092024
,,,,,,,64,17331.32182873091
,,,,,,,65,17964.2883893033
,,,,,,,66,19275.81201090812
,,,,,,,67,19217.06597437451
,,,,,,,68,18646.95287925885
,,,,,,,69,17850.02050089674
,,,,,,,70,15938.791670357112
,,,,,,,71,14793.45619145101
,,,,,,,72,13594.917254324266
,,,,,,,73,12907.16014068003
,,,,,,,74,12574.870121092916
,,,,,,,75,12444.430334131532
,,,,,,,76,12518.156232568288
,,,,,,,77,13220.730479428026
,,,,,,,78,14357.772677023964
,,,,,,,79,16474.327860227837
,,,,,,,80,17685.691974586367
,,,,,,,81,18033.99116404066
,,,,,,,82,18175.63472311716
,,,,,,,83,18023.967665057626
,,,,,,,84,17621.129857909356
,,,,,,,85,16655.20765859978
,,,,,,,86,16143.53278792181
,,,,,,,87,16444.332845862773
,,,,,,,88,17071.56665122218
,,,,,,,89,17249.399698020596
,,,,,,,90,18387.13104180578
,,,,,,,91,17916.086387494535
,,,,,,,92,17448.459035623862
,,,,,,,93,16854.541478326784
,,,,,,,94,15966.289877689436
,,,,,,,95,14704.970997103395
,,,,,,,96,13603.99575056699
,,,,,,,97,12850.192356190943
,,,,,,,98,12609.64112441107
,,,,,,,99,12751.268998794787
,,,,,,,100,13048.684103974045
,,,,,,,101,13304.198532670982
,,,,,,,102,14489.422145916404
,,,,,,,103,16487.80101133031
,,,,,,,104,17607.686115605855
,,,,,,,105,17958.09587653305
,,,,,,,106,17277.610578581345
,,,,,,,107,16018.239540780565
,,,,,,,108,16286.034103635002
,,,,,,,109,16439.49705901844
,,,,,,,110,16027.620947652702
,,,,,,,111,16518.25480295934
,,,,,,,112,17005.149819623315
,,,,,,,113,17672.578591124657
,,,,,,,114,18417.197617581678
,,,,,,,115,18227.49615981137
,,,,,,,116,17761.60686795996
,,,,,,,117,17105.736734748003
,,,,,,,118,16217.080272978137
,,,,,,,119,14531.65514182711
,,,,,,,120,13354.123890099523
,,,,,,,121,12430.060214660405
,,,,,,,122,11929.055836542859
,,,,,,,123,11565.06705283689
,,,,,,,124,11478.410105492045
,,,,,,,125,11872.130204665633
,,,,,,,126,12949.80191889645
,,,,,,,127,15016.006297379987
,,,,,,,128,16678.579811436295
,,,,,,,129,16362.039183992107
,,,,,,,130,16762.888956329858
,,,,,,,131,17403.22536192469
,,,,,,,132,17268.736963638126
,,,,,,,133,16902.854253278347
,,,,,,,134,16821.594800838207
,,,,,,,135,17185.933549251942
,,,,,,,136,16396.63275422313
,,,,,,,137,17019.95518931923
,,,,,,,138,17791.864600929173
,,,,,,,139,17872.578030001732
,,,,,,,140,17711.176659482397
,,,,,,,141,16875.78247353112
,,,,,,,142,15757.579552556788
,,,,,,,143,14395.212038702197
,,,,,,,144,13375.445269354383
,,,,,,,145,12541.344090264583
,,,,,,,146,12227.067940341254
,,,,,,,147,12120.575738382948
,,,,,,,148,12166.139770923908
,,,,,,,149,12605.220001632246
,,,,,,,150,13634.459345129013
,,,,,,,151,15107.533341834629
,,,,,,,152,16524.69434964096
,,,,,,,153,17014.010690753646
,,,,,,,154,17160.280253908477
,,,,,,,155,16966.99288325016
,,,,,,,156,16735.355458438768
,,,,,,,157,16410.088260046217
,,,,,,,158,16123.208366952107
,,,,,,,159,16015.15357747508
,,,,,,,160,16502.313273329804
,,,,,,,161,17616.5273808702
,,,,,,,162,19182.27242431048
,,,,,,,163,19071.24930672385
,,,,,,,164,18558.00596676737
,,,,,,,165,17772.700847225577
,,,,,,,166,16078.964789485002
,,,,,,,167,14799.167380211416
,,,,,,,168,13476.677217469856
,,,,,,,169,12522.434232525447
,,,,,,,170,12038.634001806651
,,,,,,,171,11819.162997130066
,,,,,,,172,11594.899338514308
,,,,,,,173,11648.722342099967
,,,,,,,174,12163.249866278236
,,,,,,,175,12284.55724086545
,,,,,,,176,12694.510997071702
