natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.7471,0.9014,0.9014,1.0,1
1.0,1.0,1.0,0.046857777777777776,0.8062444444444444,0.8905,0.8905,1.0,2
1.0,1.0,1.0,0.453387,0.7415,0.805,0.805,1.0,3
1.0,1.0,1.0,0.53524,0.6752,0.7711,0.7711,1.0,4
1.0,1.0,1.0,0.517283,0.6982,0.6848,0.6848,1.0,5
1.0,1.0,1.0,0.410183,0.6422,0.6132,0.6132,1.0,6
1.0,1.0,1.0,0.223333,0.5411,0.5143,0.5143,1.0,7
1.0,1.0,1.0,0.006079470588235294,0.5234352941176471,0.35158823529411765,0.35158823529411765,1.0,8
1.0,1.0,1.0,0.113321,0.3723,0.265,0.265,1.0,9
1.0,1.0,1.0,0.274023,0.3136,0.2841,0.2841,1.0,10
1.0,1.0,1.0,0.40061775,0.314175,0.26505,0.26505,1.0,11
1.0,1.0,1.0,0.241128,0.5208,0.2683,0.2683,1.0,12
1.0,1.0,1.0,0.014301722222222221,0.5878277777777777,0.5298388888888889,0.5298388888888889,1.0,13
1.0,1.0,1.0,0.324194,0.2224,0.3321,0.3321,1.0,14
1.0,1.0,1.0,0.06036627544910179,0.2546389221556887,0.4719652694610777,0.4719652694610777,1.0,15
1.0,1.0,1.0,0.3808215,0.7066,0.8996,0.8996,1.0,16
1.0,1.0,1.0,0.488537,0.6409,0.8353,0.8353,1.0,17
1.0,1.0,1.0,0.365505,0.6143,0.7854,0.7854,1.0,18
1.0,1.0,1.0,0.052979581395348856,0.5528930232558139,0.7138441860465116,0.7138441860465116,1.0,19
1.0,1.0,1.0,0.132993,0.6698,0.739,0.739,1.0,20
1.0,1.0,1.0,0.41082,0.54445,0.6676500000000001,0.6676500000000001,1.0,21
1.0,1.0,1.0,0.569056,0.4762,0.5221,0.5221,1.0,22
1.0,1.0,1.0,0.5005425,0.43225,0.3913,0.3913,1.0,23
1.0,1.0,1.0,0.03937689400921658,0.33187050691244246,0.400846543778802,0.400846543778802,1.0,24
1.0,1.0,1.0,0.134163,0.5451,0.8996,0.8996,1.0,25
1.0,1.0,1.0,0.0019784375,0.6164687499999999,0.697,0.697,1.0,26
1.0,1.0,1.0,0.141687,0.6172,0.215,0.215,1.0,27
1.0,1.0,1.0,0.10027237414965984,0.25281292517006804,0.30283061224489805,0.30283061224489805,1.0,28
1.0,1.0,1.0,0.59786,0.4213,0.6785,0.6785,1.0,29
1.0,1.0,1.0,0.06429765060240965,0.32314578313253023,0.5619506024096386,0.5619506024096386,1.0,30
1.0,1.0,1.0,0.04905407096774194,0.3023129032258065,0.44836322580645194,0.44836322580645194,1.0,31
1.0,1.0,1.0,0.608877,0.7632,0.7246,0.7246,1.0,32
1.0,1.0,1.0,0.10212464705882351,0.6311378151260506,0.664647899159664,0.664647899159664,1.0,33
1.0,1.0,1.0,0.650552,0.108,0.0388,0.0388,1.0,34
1.0,1.0,1.0,0.07803538655462186,0.34270420168067217,0.3482151260504202,0.3482151260504202,1.0,35
