Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,16,8736,17472.0,1,12757.557566240906,1,1,0,1
,,,,,,8736.0,2,11999.769379074552,1,0,1,6
,,,,,,17472.0,3,12767.480500279864,1,0,1,1
,,,,,,8736.0,4,13938.277860213258,1,0,1,1
,,,,,,8736.0,5,14846.063539124916,1,0,1,1
,,,,,,17472.0,6,15472.437764799286,1,0,1,1
,,,,,,17472.0,7,16741.516713068824,1,0,1,1
,,,,,,8736.0,8,16716.167092023043,1,0,1,1
,,,,,,17472.0,9,16662.82333208374,1,0,1,1
,,,,,,8736.0,10,16204.360010781162,1,0,1,1
,,,,,,17472.0,11,16192.35581722759,1,0,1,1
,,,,,,8736.0,12,16753.084053274863,1,0,1,7
,,,,,,17472.0,13,12796.207673954446,1,0,1,1
,,,,,,8736.0,14,11986.579746440439,1,0,1,1
,,,,,,8736.0,15,11451.933738212154,1,0,1,1
,,,,,,8736.0,16,11138.01608730638,1,0,1,1
,,,,,,,17,11075.491416274068,1,0,1,1
,,,,,,,18,11097.421539921559,1,0,1,1
,,,,,,,19,12356.1870683219,1,0,1,1
,,,,,,,20,13959.047511904906,1,0,1,1
,,,,,,,21,14634.360298037313,1,0,1,1
,,,,,,,22,15157.145923350276,1,0,1,1
,,,,,,,23,14731.93981082702,1,0,1,1
,,,,,,,24,15517.108944304378,1,0,1,1
,,,,,,,25,16120.739118066185,1,0,1,1
,,,,,,,26,15815.264350047422,1,0,1,1
,,,,,,,27,15538.150238312714,1,0,1,2
,,,,,,,28,15792.165764964184,1,0,1,1
,,,,,,,29,17081.054628652073,1,0,1,1
,,,,,,,30,18087.156849874453,1,0,1,1
,,,,,,,31,17410.55875616272,1,0,1,1
,,,,,,,32,16703.426867633447,1,0,1,1
,,,,,,,33,16151.310862913264,1,0,1,1
,,,,,,,34,15047.870810668233,1,0,1,1
,,,,,,,35,13952.183549983634,1,0,1,1
,,,,,,,36,11942.395425866907,1,0,1,2
,,,,,,,37,10889.050910638303,1,0,1,1
,,,,,,,38,10512.353924028324,1,0,1,1
,,,,,,,39,13637.986552619841,1,0,1,7
,,,,,,,40,15988.108758259035,1,0,1,1
,,,,,,,41,15653.416462236675,1,0,1,1
,,,,,,,42,16130.376428198626,1,0,1,1
,,,,,,,43,15456.552681383057,1,0,1,1
,,,,,,,44,14863.172011651226,1,0,1,1
,,,,,,,45,15726.986589234251,1,0,1,1
,,,,,,,46,16484.609993377617,1,0,1,1
,,,,,,,47,18298.130052235956,1,0,1,1
,,,,,,,48,18082.318221108475,1,0,1,1
,,,,,,,49,17381.073580582386,1,0,1,1
,,,,,,,50,17001.549316771896,1,0,1,1
,,,,,,,51,15021.200928068558,1,0,1,1
,,,,,,,52,13470.618647542853,1,0,1,1
