Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,1,8736,200928.0,1,11998.282403627723,1,1,0,1
,,,,,,,2,10909.998259045178,1,0,1,6
,,,,,,,3,11536.91832126172,1,0,1,1
,,,,,,,4,12163.536641109158,1,0,1,1
,,,,,,,5,12771.044610913093,1,0,1,1
,,,,,,,6,13283.336099798531,1,0,1,3
,,,,,,,7,13251.31788174319,1,0,1,1
,,,,,,,8,13109.297806683067,1,0,1,1
,,,,,,,9,13175.681127886808,1,0,1,1
,,,,,,,10,12473.047397092341,1,0,1,17
,,,,,,,11,13920.984779583358,1,0,1,1
,,,,,,,12,14729.821963442073,1,0,1,3
,,,,,,,13,14695.859183452483,1,0,1,1
,,,,,,,14,14633.19735146774,1,0,1,1
,,,,,,,15,14453.744459173284,1,0,1,18
,,,,,,,16,16649.842185005637,1,0,1,1
,,,,,,,17,16818.817911706068,1,0,1,3
,,,,,,,18,16752.233428922922,1,0,1,1
,,,,,,,19,16672.372281899028,1,0,1,1
,,,,,,,20,17540.635949007054,1,0,1,2
,,,,,,,21,19620.294647293653,1,0,1,1
,,,,,,,22,16021.894761865702,1,0,1,14
,,,,,,,23,18174.244633738825,1,0,1,1
,,,,,,,24,17991.388758059427,1,0,1,4
,,,,,,,25,17491.30107165791,1,0,1,2
,,,,,,,26,17588.66327609006,1,0,1,1
,,,,,,,27,19402.77192609675,1,0,1,3
,,,,,,,28,19161.646246249624,1,0,1,1
,,,,,,,29,18419.36001824415,1,0,1,1
,,,,,,,30,14040.934555645874,1,0,1,7
,,,,,,,31,12845.172652923939,1,0,1,1
,,,,,,,32,15632.366916373745,1,0,1,3
,,,,,,,33,17249.404272423064,1,0,1,2
,,,,,,,34,17129.662842282072,1,0,1,2
,,,,,,,35,16792.16400243487,1,0,1,1
,,,,,,,36,16696.008767479147,1,0,1,1
,,,,,,,37,16558.01192400713,1,0,1,1
,,,,,,,38,15592.490501748563,1,0,1,13
,,,,,,,39,12375.460365012617,1,0,1,1
,,,,,,,40,15106.999924826969,1,0,1,3
,,,,,,,41,16679.31235638851,1,0,1,1
,,,,,,,42,16704.055230655358,1,0,1,1
,,,,,,,43,14452.581684286264,1,0,1,22
,,,,,,,44,14024.180669818265,1,0,1,1
,,,,,,,45,14556.655370504031,1,0,1,1
,,,,,,,46,14710.745140328472,1,0,1,1
,,,,,,,47,14454.515578561004,1,0,1,2
,,,,,,,48,14012.412717423056,1,0,1,1
,,,,,,,49,13784.094324798067,1,0,1,1
,,,,,,,50,13911.630766141012,1,0,1,1
,,,,,,,51,12776.337674971195,1,0,1,16
,,,,,,,52,12997.552549323435,1,0,1,1
,,,,,,,53,13696.287295387665,1,0,1,1
,,,,,,,54,14340.029494681974,1,0,1,4
,,,,,,,55,14300.979003079925,1,0,1,1
,,,,,,,56,14485.544752184265,1,0,1,1
,,,,,,,57,15723.392531054636,1,0,1,1
,,,,,,,58,13880.735700237354,1,0,1,12
,,,,,,,59,13182.118298427777,1,0,1,1
,,,,,,,60,16381.78523673995,1,0,1,11
,,,,,,,61,18435.452944596575,1,0,1,2
,,,,,,,62,17560.902978132137,1,0,1,2
,,,,,,,63,15255.591278147665,1,0,1,2
,,,,,,,64,12230.336654155952,1,0,1,7
,,,,,,,65,15722.738755921568,1,0,1,2
,,,,,,,66,16358.057314078284,1,0,1,1
,,,,,,,67,16449.38467112828,1,0,1,1
,,,,,,,68,16476.642065137694,1,0,1,1
,,,,,,,69,16201.905638064938,1,0,1,2
,,,,,,,70,15931.293023369988,1,0,1,1
,,,,,,,71,15777.806738283763,1,0,1,1
,,,,,,,72,14653.837966383144,1,0,1,14
,,,,,,,73,13202.234456368304,1,0,1,1
,,,,,,,74,16185.722189001783,1,0,1,5
,,,,,,,75,16083.622629374635,1,0,1,2
,,,,,,,76,16831.868269169987,1,0,1,8
,,,,,,,77,14954.351812988263,1,0,1,2
,,,,,,,78,12880.375929319862,1,0,1,1
,,,,,,,79,12021.415985259331,1,0,1,1
,,,,,,,80,11548.686273656931,1,0,1,1
,,,,,,,81,14833.457428980126,1,0,1,27
,,,,,,,82,12577.62775231492,1,0,1,1
,,,,,,,83,15650.572039309927,1,0,1,4
,,,,,,,84,16026.060243427815,1,0,1,5
,,,,,,,85,14592.77504965058,1,0,1,18
,,,,,,,86,15579.86374414897,1,0,1,1
,,,,,,,87,15903.83446778117,1,0,1,1
,,,,,,,88,15848.21329107561,1,0,1,1
,,,,,,,89,15591.531115754477,1,0,1,1
,,,,,,,90,15318.253110132408,1,0,1,1
,,,,,,,91,15154.70874607592,1,0,1,1
,,,,,,,92,15247.74597655086,1,0,1,1
,,,,,,,93,14798.534420187752,1,0,1,17
,,,,,,,94,16133.158668303184,1,0,1,1
,,,,,,,95,16613.88455268694,1,0,1,2
,,,,,,,96,16508.794390912637,1,0,1,3
,,,,,,,97,17002.62930488764,1,0,1,2
,,,,,,,98,18918.240735169238,1,0,1,1
,,,,,,,99,15613.887482192928,1,0,1,11
,,,,,,,100,14698.876607143562,1,0,1,1
,,,,,,,101,16057.723076026206,1,0,1,1
,,,,,,,102,17061.519357258538,1,0,1,1
,,,,,,,103,17765.584885177002,1,0,1,1
,,,,,,,104,18172.333598734476,1,0,1,1
,,,,,,,105,18347.042430447953,1,0,1,1
,,,,,,,106,18066.522607967298,1,0,1,2
,,,,,,,107,17695.379493964563,1,0,1,1
,,,,,,,108,17445.335650763802,1,0,1,1
,,,,,,,109,17459.31638053247,1,0,1,1
,,,,,,,110,18948.515552869736,1,0,1,2
,,,,,,,111,19319.558086082765,1,0,1,1
,,,,,,,112,14889.740888403068,1,0,1,37
,,,,,,,113,15953.219635525165,1,0,1,1
,,,,,,,114,16072.106128953683,1,0,1,1
,,,,,,,115,16182.166658085795,1,0,1,4
,,,,,,,116,16058.326560764423,1,0,1,1
,,,,,,,117,16176.911311823833,1,0,1,1
,,,,,,,118,15528.811809032763,1,0,1,14
,,,,,,,119,16643.10327209556,1,0,1,1
,,,,,,,120,17776.246448885482,1,0,1,1
,,,,,,,121,17823.82116241483,1,0,1,1
,,,,,,,122,17761.96397674771,1,0,1,1
,,,,,,,123,17676.47030550047,1,0,1,1
,,,,,,,124,17217.285473578024,1,0,1,3
,,,,,,,125,17127.936205392176,1,0,1,3
,,,,,,,126,18915.22331147816,1,0,1,1
,,,,,,,127,15013.070878016662,1,0,1,15
,,,,,,,128,16874.237926832222,1,0,1,1
