Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,2,8736,139776.0,1,12066.07464229308
,,,,,,61152.00000000001,2,11426.81240958881
,,,,,,,3,10939.273808064352
,,,,,,,4,10692.470034678527
,,,,,,,5,10659.090835818968
,,,,,,,6,10856.331556352723
,,,,,,,7,11255.87045179289
,,,,,,,8,11602.103778145218
,,,,,,,9,12232.2625929787
,,,,,,,10,12843.20308119607
,,,,,,,11,13229.997191617136
,,,,,,,12,13387.18287351942
,,,,,,,13,13457.987234736664
,,,,,,,14,13326.189973785134
,,,,,,,15,13183.367462301207
,,,,,,,16,13250.125860020324
,,,,,,,17,14543.822688546843
,,,,,,,18,15761.050806958738
,,,,,,,19,15654.84426513287
,,,,,,,20,15180.455044977329
,,,,,,,21,14617.054627862964
,,,,,,,22,13829.103236602481
,,,,,,,23,12833.796216062923
,,,,,,,24,11753.52396206267
,,,,,,,25,10844.193665858338
,,,,,,,26,10300.011575360084
,,,,,,,27,10030.955002734552
,,,,,,,28,9976.33449550982
,,,,,,,29,10201.896960530472
,,,,,,,30,10758.216941523111
,,,,,,,31,11584.604986015815
,,,,,,,32,12257.145268492188
,,,,,,,33,13112.866548346321
,,,,,,,34,13999.640598048589
,,,,,,,35,14635.160314517088
,,,,,,,36,14908.161701553294
,,,,,,,37,14895.821512884004
,,,,,,,38,14778.893167788096
,,,,,,,39,14715.877286304749
,,,,,,,40,14929.605308093374
,,,,,,,41,16323.945478635835
,,,,,,,42,17715.2511765547
,,,,,,,43,17576.676926743807
,,,,,,,44,17144.77032331861
,,,,,,,45,16452.910565138674
,,,,,,,46,15367.58085676576
,,,,,,,47,14020.275011889042
,,,,,,,48,12780.187199712722
,,,,,,,49,11959.868100467213
,,,,,,,50,11548.19131453266
,,,,,,,51,11368.145938865951
,,,,,,,52,11411.64004647083
,,,,,,,53,11828.374286778044
,,,,,,,54,13038.117372718401
,,,,,,,55,15188.546971973585
,,,,,,,56,16389.490087305512
,,,,,,,57,16593.81124396099
,,,,,,,58,16743.91648974155
,,,,,,,59,16905.350433316868
,,,,,,,60,16947.32730460995
,,,,,,,61,16888.863132061997
,,,,,,,62,16846.886260768915
,,,,,,,63,16766.57388533107
,,,,,,,64,16978.784670807898
,,,,,,,65,18300.70209473386
,,,,,,,66,19731.15248949712
,,,,,,,67,19765.54317923121
,,,,,,,68,19428.716718012027
,,,,,,,69,18791.477467056822
,,,,,,,70,17676.81452332248
,,,,,,,71,16189.922937760335
,,,,,,,72,14886.111200488494
,,,,,,,73,14076.918500862837
,,,,,,,74,13652.092333559369
,,,,,,,75,13448.782667778421
,,,,,,,76,13483.173357512513
,,,,,,,77,13841.241127096866
,,,,,,,78,14993.329233188895
,,,,,,,79,17114.42559708265
,,,,,,,80,18225.34602458122
,,,,,,,81,18276.932059182356
,,,,,,,82,18253.364321805762
,,,,,,,83,18227.369006330286
,,,,,,,84,18072.610902526878
,,,,,,,85,17818.827842106784
,,,,,,,86,17660.832967504874
,,,,,,,87,17519.426543245292
,,,,,,,88,17688.042072029784
,,,,,,,89,18906.989724928386
,,,,,,,90,19888.94506592412
,,,,,,,91,19741.26739824244
,,,,,,,92,19269.912650710492
,,,,,,,93,18523.432385305823
,,,,,,,94,17314.70079024
,,,,,,,95,15751.947389087949
,,,,,,,96,14296.412020636297
,,,,,,,97,13363.817434317727
,,,,,,,98,12879.313305416865
,,,,,,,99,12640.601459027297
,,,,,,,100,12595.084369673354
,,,,,,,101,12917.749958649085
,,,,,,,102,13987.907303904016
,,,,,,,103,16003.808616846434
,,,,,,,104,17170.36104244427
,,,,,,,105,17300.641067084
,,,,,,,106,17393.091333016233
,,,,,,,107,17343.12368381435
,,,,,,,108,17109.7727390598
,,,,,,,109,16887.04244848784
,,,,,,,110,16790.343920882573
,,,,,,,111,16651.567372896774
,,,,,,,112,16748.670496851853
,,,,,,,113,17817.917500319705
,,,,,,,114,18968.488370099934
,,,,,,,115,18891.615063635498
,,,,,,,116,18450.605042339514
,,,,,,,117,17763.80273853224
,,,,,,,118,16622.841032060063
,,,,,,,119,15095.489811516634
,,,,,,,120,13772.459747628685
,,,,,,,121,12899.543122907507
,,,,,,,122,12451.4526654898
,,,,,,,123,12215.775291723827
,,,,,,,124,12149.01689400471
,,,,,,,125,12445.383720242608
,,,,,,,126,13493.288266257832
,,,,,,,127,15455.580562850051
,,,,,,,128,16628.20193369508
,,,,,,,129,16773.55317236534
,,,,,,,130,16798.435847878827
,,,,,,,131,16753.93024939942
,,,,,,,132,16524.018373618277
,,,,,,,133,16245.049190422333
,,,,,,,134,16081.288817835592
,,,,,,,135,15844.498804107632
,,,,,,,136,15907.716983765888
,,,,,,,137,16834.546072099623
,,,,,,,138,17719.297140052826
,,,,,,,139,17425.964786438526
,,,,,,,140,16923.253821796086
,,,,,,,141,16258.704317228516
,,,,,,,142,15381.74172900921
,,,,,,,143,14204.366351053879
,,,,,,,144,12979.45090199554
,,,,,,,145,12050.9022791751
,,,,,,,146,11541.110878410935
,,,,,,,147,11265.985360538212
,,,,,,,148,11151.686891716088
,,,,,,,149,11263.962378789147
,,,,,,,150,11689.80003696715
,,,,,,,151,12456.51011986246
,,,,,,,152,13249.518965495603
,,,,,,,153,14103.41956177558
,,,,,,,154,14638.902830752857
,,,,,,,155,14793.86323273117
,,,,,,,156,14673.293520486948
,,,,,,,157,14399.078344401303
,,,,,,,158,14091.585118543553
,,,,,,,159,13861.976690024772
,,,,,,,160,13990.233732915438
,,,,,,,161,15010.119981706128
,,,,,,,162,16029.095888709737
,,,,,,,163,15846.01604041943
,,,,,,,164,15336.224639655267
,,,,,,,165,14840.594111134553
,,,,,,,166,14144.688389456487
,,,,,,,167,13244.461511122943
,,,,,,,168,12245.108527085256
,,,,,,,169,11411.64004647083
,,,,,,,170,10928.1474084445
,,,,,,,171,10645.941454450052
,,,,,,,172,10565.022184487487
,,,,,,,173,10641.895490951923
,,,,,,,174,10955.457662056866
,,,,,,,175,11556.283241528916
,,,,,,,176,12175.720253092357
,,,,,,,177,13070.990826140693
,,,,,,,178,13773.673536678123
,,,,,,,179,14218.122626947516
,,,,,,,180,14474.535563641395
,,,,,,,181,14540.484768660886
,,,,,,,182,14451.068975352251
,,,,,,,183,14381.781850446803
,,,,,,,184,14567.390425923439
,,,,,,,185,15812.23224521006
,,,,,,,186,17094.195779592006
,,,,,,,187,17054.747635485255
,,,,,,,188,16618.795068561933
,,,,,,,189,16048.314215325845
,,,,,,,190,15085.374902771313
,,,,,,,191,13845.287090594993
,,,,,,,192,12760.968873096614
,,,,,,,193,12041.79886130431
,,,,,,,194,11694.85749133981
,,,,,,,195,11582.58200426675
,,,,,,,196,11630.122075369758
,,,,,,,197,12052.925260924163
,,,,,,,198,13256.599401617328
,,,,,,,199,15429.281800112218
,,,,,,,200,16681.001757345657
,,,,,,,201,16810.877185635574
,,,,,,,202,16847.088558943822
,,,,,,,203,16847.594304381088
,,,,,,,204,16707.603967345847
,,,,,,,205,16444.009445442793
,,,,,,,206,16254.860651905296
,,,,,,,207,16017.463743652617
,,,,,,,208,16050.236047987455
,,,,,,,209,17127.77727662647
,,,,,,,210,18562.880529412574
,,,,,,,211,18516.3519491841
,,,,,,,212,18024.767384161514
,,,,,,,213,17295.482463623888
,,,,,,,214,16097.877268177917
,,,,,,,215,14585.69841075247
,,,,,,,216,13259.633874240924
,,,,,,,217,12364.464450280042
,,,,,,,218,11931.546355980314
,,,,,,,219,11696.880473088873
,,,,,,,220,11679.685128221829
,,,,,,,221,12024.603516437264
,,,,,,,222,13139.266460171608
,,,,,,,223,15250.24791532004
,,,,,,,224,16372.901636963186
,,,,,,,225,16450.4829870398
,,,,,,,226,16542.32635844731
,,,,,,,227,16569.737761147127
,,,,,,,228,16420.03711171638
,,,,,,,229,16166.860945821005
,,,,,,,230,16021.307408975837
,,,,,,,231,15866.953901522245
,,,,,,,232,15953.031774944924
,,,,,,,233,17009.53399339367
,,,,,,,234,18163.341633972406
,,,,,,,235,18044.997201652153
,,,,,,,236,17594.883762485384
,,,,,,,237,16916.173385674363
,,,,,,,238,15801.51044194002
,,,,,,,239,14336.87165561758
,,,,,,,240,13054.301226710913
,,,,,,,241,12222.855727845552
,,,,,,,242,11817.24788715819
,,,,,,,243,11645.29443848774
,,,,,,,244,11683.731091719957
,,,,,,,245,12069.109114916677
,,,,,,,246,13276.829219107969
,,,,,,,247,15415.12092786877
,,,,,,,248,16535.347071413038
,,,,,,,249,16541.213718485324
,,,,,,,250,16470.004760918266
,,,,,,,251,16424.184224301964
,,,,,,,252,16292.690410612795
,,,,,,,253,16056.304993234648
,,,,,,,254,15952.121433157845
,,,,,,,255,15791.09208593234
,,,,,,,256,15884.45269365165
,,,,,,,257,16912.93661487586
,,,,,,,258,18162.330143097875
,,,,,,,259,18089.502800131566
,,,,,,,260,17651.527251459178
,,,,,,,261,16971.805383773626
,,,,,,,262,15795.441496692827
,,,,,,,263,14282.251148392848
,,,,,,,264,12953.152139257707
,,,,,,,265,12089.338932407318
,,,,,,,266,11613.938221377244
,,,,,,,267,11383.318301983933
,,,,,,,268,11364.099975367822
,,,,,,,269,11697.891963963406
,,,,,,,270,12791.313599332576
,,,,,,,271,14779.904658662628
,,,,,,,272,16167.670138520629
,,,,,,,273,16545.057383808547
,,,,,,,274,16819.171410806735
,,,,,,,275,17051.005119249487
,,,,,,,276,17123.22556769108
,,,,,,,277,17065.57058784275
,,,,,,,278,16987.78693959123
,,,,,,,279,16763.640561794928
,,,,,,,280,16733.700431908775
,,,,,,,281,17520.235735944916
,,,,,,,282,18400.030498612912
,,,,,,,283,18211.893195949946
,,,,,,,284,17679.848995946075
,,,,,,,285,16931.345748792344
,,,,,,,286,15739.809498593564
,,,,,,,287,14240.780022537034
,,,,,,,288,12928.876358268937
,,,,,,,289,12024.603516437264
,,,,,,,290,11559.317714152512
,,,,,,,291,11340.835685253585
,,,,,,,292,11308.467977268558
,,,,,,,293,11606.857785255519
,,,,,,,294,12648.693386023553
,,,,,,,295,14619.077609612028
,,,,,,,296,15910.751456389484
,,,,,,,297,16169.187374832427
,,,,,,,298,16256.98478274181
,,,,,,,299,16294.713392361858
,,,,,,,300,16229.16878369218
,,,,,,,301,16089.684192094206
,,,,,,,302,16031.523466808612
,,,,,,,303,15937.960560914396
,,,,,,,304,16150.575942741038
,,,,,,,305,17169.450700657195
,,,,,,,306,18155.24970697615
,,,,,,,307,17982.284767431167
,,,,,,,308,17514.975983397348
,,,,,,,309,16923.253821796086
,,,,,,,310,16046.291233576781
,,,,,,,311,14893.19163661022
,,,,,,,312,13727.954149149273
,,,,,,,313,12802.439998952428
,,,,,,,314,12270.395798948559
,,,,,,,315,11991.224317577708
,,,,,,,316,11885.01777575184
,,,,,,,317,12008.419662444752
,,,,,,,318,12430.211357124626
,,,,,,,319,13232.323620628558
,,,,,,,320,14033.828989607771
,,,,,,,321,14936.989191477458
,,,,,,,322,15667.892497414332
,,,,,,,323,15993.693708101113
,,,,,,,324,15937.758262739491
,,,,,,,325,15679.625791558905
,,,,,,,326,15404.803720948541
,,,,,,,327,15240.335304749628
,,,,,,,328,15333.898210643843
,,,,,,,329,16318.179980651
,,,,,,,330,17679.848995946075
,,,,,,,331,17662.653651079032
,,,,,,,332,17261.0917738898
,,,,,,,333,16717.921174266077
,,,,,,,334,16045.279742702249
,,,,,,,335,15244.178970072848
,,,,,,,336,14309.561402005214
,,,,,,,337,13458.897576523743
,,,,,,,338,12947.083194010514
,,,,,,,339,12729.612655986119
,,,,,,,340,12708.371347620945
,,,,,,,341,12847.957088306372
,,,,,,,342,13216.139766636044
,,,,,,,343,13845.287090594993
,,,,,,,344,14518.53541668354
,,,,,,,345,15485.925289086013
,,,,,,,346,16224.313627494426
,,,,,,,347,16633.25938806774
,,,,,,,348,16782.251993886315
,,,,,,,349,16765.8658417189
,,,,,,,350,16583.898633390578
,,,,,,,351,16456.450783199536
,,,,,,,352,16564.983754036828
,,,,,,,353,17632.41007393052
,,,,,,,354,19025.131859073732
,,,,,,,355,19043.33869481531
,,,,,,,356,18516.3519491841
,,,,,,,357,17981.273276556632
,,,,,,,358,17073.965962101367
,,,,,,,359,15992.682217226582
,,,,,,,360,14938.708725964163
,,,,,,,361,14186.159515312302
,,,,,,,362,13787.632110746667
,,,,,,,363,13619.724625574341
,,,,,,,364,13630.851025194195
,,,,,,,365,13952.505123295394
