Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,4,8736,17472.0,1,12887.309603831594
,,,,,,34944.0,2,12562.751227498842
,,,,,,52416.0,3,12453.08366643857
,,,,,,96096.0,4,12375.864206882714
,,,,,,,5,12710.071916249348
,,,,,,,6,13787.902118590504
,,,,,,,7,14849.467605912376
,,,,,,,8,15422.321997015415
,,,,,,,9,17397.724648426494
,,,,,,,10,17499.26034788282
,,,,,,,11,17341.02775019627
,,,,,,,12,16974.005960921528
,,,,,,,13,16644.592667824374
,,,,,,,14,16478.273831857918
,,,,,,,15,16268.699125647172
,,,,,,,16,16694.50359250975
,,,,,,,17,17939.7555250854
,,,,,,,18,19592.05181204178
,,,,,,,19,19385.494196085845
,,,,,,,20,18867.448294322447
,,,,,,,21,18089.20067383781
,,,,,,,22,16700.717290881348
,,,,,,,23,14998.585456905392
,,,,,,,24,13814.449934123231
,,,,,,,25,13185.09998250257
,,,,,,,26,12615.320206715085
,,,,,,,27,12298.514820034492
,,,,,,,28,12386.144331961981
,,,,,,,29,12816.890003180077
,,,,,,,30,14192.113859635361
,,,,,,,31,16715.257245889745
,,,,,,,32,17873.67609108577
,,,,,,,33,17052.488988190937
,,,,,,,34,17142.908465564444
,,,,,,,35,16879.647008698543
,,,,,,,36,16951.88459963181
,,,,,,,37,16830.70706736605
,,,,,,,38,16780.07311217582
,,,,,,,39,16288.399475328742
,,,,,,,40,16698.618617975637
,,,,,,,41,17535.33649545959
,,,,,,,42,18724.812922588288
,,,,,,,43,18557.20076456651
,,,,,,,44,17972.008239745566
,,,,,,,45,17317.484131370256
,,,,,,,46,16415.28984121308
,,,,,,,47,14789.22795738952
,,,,,,,48,13597.961310698056
,,,,,,,49,12594.746071197063
,,,,,,,50,12029.420520371565
,,,,,,,51,11943.023830004475
,,,,,,,52,12017.868893087609
,,,,,,,53,12507.312937925211
,,,,,,,54,13536.578103640091
,,,,,,,55,15174.041851227401
,,,,,,,56,16590.664907000937
,,,,,,,57,16880.03381514147
,,,,,,,58,16845.898642459066
,,,,,,,59,16770.87604513674
,,,,,,,60,16948.93594436305
,,,,,,,61,16675.865472829137
,,,,,,,62,16563.67573539872
,,,,,,,63,16440.020658275454
,,,,,,,64,16346.278612738366
,,,,,,,65,17246.66284710493
,,,,,,,66,17891.551507805852
,,,,,,,67,17418.599302796327
,,,,,,,68,16958.2371515983
,,,,,,,69,17076.478922143404
,,,,,,,70,16280.286458141245
,,,,,,,71,14973.271454744456
,,,,,,,72,13760.30992566188
,,,,,,,73,12887.300677529065
,,,,,,,74,12605.30291165473
,,,,,,,75,12452.917042124694
,,,,,,,76,12426.62808936531
