Time_Index,natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery
1,1.0,1.0,1.0,0.0,0.4379,0.7539,0.7539,1.0
2,1.0,1.0,1.0,0.0,0.4881,0.744,0.744,1.0
3,1.0,1.0,1.0,0.0,0.5502,0.7013,0.7013,1.0
4,1.0,1.0,1.0,0.0,0.5854,0.6489,0.6489,1.0
5,1.0,1.0,1.0,0.0,0.5454,0.5173,0.5173,1.0
6,1.0,1.0,1.0,0.0,0.5184,0.3942,0.3942,1.0
7,1.0,1.0,1.0,0.0,0.4447,0.3035,0.3035,1.0
8,1.0,1.0,1.0,0.0106,0.3226,0.23,0.23,1.0
9,1.0,1.0,1.0,0.132354,0.19,0.1967,0.1967,1.0
10,1.0,1.0,1.0,0.328015,0.099,0.1741,0.1741,1.0
11,1.0,1.0,1.0,0.500707,0.056,0.1484,0.1484,1.0
12,1.0,1.0,1.0,0.596698,0.0293,0.1784,0.1784,1.0
13,1.0,1.0,1.0,0.546161,0.0514,0.1798,0.1798,1.0
14,1.0,1.0,1.0,0.395351,0.064,0.2183,0.2183,1.0
15,1.0,1.0,1.0,0.257541,0.1152,0.3286,0.3286,1.0
16,1.0,1.0,1.0,0.09329,0.1474,0.4628,0.4628,1.0
17,1.0,1.0,1.0,0.007403,0.2217,0.5918,0.5918,1.0
18,1.0,1.0,1.0,0.0,0.3166,0.7097,0.7097,1.0
19,1.0,1.0,1.0,0.0,0.3564,0.7588,0.7588,1.0
20,1.0,1.0,1.0,0.0,0.3925,0.7958,0.7958,1.0
21,1.0,1.0,1.0,0.0,0.4194,0.8081,0.8081,1.0
22,1.0,1.0,1.0,0.0,0.4892,0.8402,0.8402,1.0
23,1.0,1.0,1.0,0.0,0.4562,0.893,0.893,1.0
24,1.0,1.0,1.0,0.0,0.4459,0.9106,0.9106,1.0
25,1.0,1.0,1.0,0.0,0.4275,0.915,0.915,1.0
26,1.0,1.0,1.0,0.0,0.4029,0.9135,0.9135,1.0
27,1.0,1.0,1.0,0.0,0.4446,0.9114,0.9114,1.0
28,1.0,1.0,1.0,0.0,0.4571,0.9036,0.9036,1.0
29,1.0,1.0,1.0,0.0,0.4976,0.9041,0.9041,1.0
30,1.0,1.0,1.0,0.0,0.5082,0.8972,0.8972,1.0
31,1.0,1.0,1.0,0.0,0.4877,0.8959,0.8959,1.0
32,1.0,1.0,1.0,0.008157,0.5372,0.8943,0.8943,1.0
33,1.0,1.0,1.0,0.091806,0.4438,0.8948,0.8948,1.0
34,1.0,1.0,1.0,0.213239,0.4665,0.8896,0.8896,1.0
35,1.0,1.0,1.0,0.328875,0.3621,0.8921,0.8921,1.0
36,1.0,1.0,1.0,0.364691,0.4098,0.8953,0.8953,1.0
37,1.0,1.0,1.0,0.344926,0.4547,0.8978,0.8978,1.0
38,1.0,1.0,1.0,0.278584,0.6075,0.9033,0.9033,1.0
39,1.0,1.0,1.0,0.17026,0.4939,0.9009,0.9009,1.0
40,1.0,1.0,1.0,0.061253,0.5033,0.8884,0.8884,1.0
41,1.0,1.0,1.0,0.004201,0.6209,0.884,0.884,1.0
42,1.0,1.0,1.0,0.0,0.667,0.8893,0.8893,1.0
43,1.0,1.0,1.0,0.0,0.772,0.8689,0.8689,1.0
44,1.0,1.0,1.0,0.0,0.8235,0.8721,0.8721,1.0
45,1.0,1.0,1.0,0.0,0.8445,0.8478,0.8478,1.0
46,1.0,1.0,1.0,0.0,0.833,0.7988,0.7988,1.0
47,1.0,1.0,1.0,0.0,0.8321,0.7678,0.7678,1.0
48,1.0,1.0,1.0,0.0,0.8297,0.7614,0.7614,1.0
49,1.0,1.0,1.0,0.0,0.8214,0.7501,0.7501,1.0
50,1.0,1.0,1.0,0.0,0.7979,0.719,0.719,1.0
51,1.0,1.0,1.0,0.0,0.7934,0.6856,0.6856,1.0
52,1.0,1.0,1.0,0.0,0.7701,0.6759,0.6759,1.0
53,1.0,1.0,1.0,0.0,0.7282,0.6549,0.6549,1.0
54,1.0,1.0,1.0,0.0,0.6846,0.5888,0.5888,1.0
55,1.0,1.0,1.0,0.0,0.6541,0.6072,0.6072,1.0
56,1.0,1.0,1.0,0.010012,0.6064,0.6535,0.6535,1.0
57,1.0,1.0,1.0,0.132337,0.5331,0.6515,0.6515,1.0
58,1.0,1.0,1.0,0.338389,0.4898,0.6107,0.6107,1.0
59,1.0,1.0,1.0,0.487236,0.4551,0.5923,0.5923,1.0
60,1.0,1.0,1.0,0.483963,0.5097,0.5648,0.5648,1.0
61,1.0,1.0,1.0,0.482121,0.6012,0.5799,0.5799,1.0
62,1.0,1.0,1.0,0.352403,0.5939,0.5958,0.5958,1.0
63,1.0,1.0,1.0,0.222918,0.6467,0.6241,0.6241,1.0
64,1.0,1.0,1.0,0.106462,0.6182,0.6593,0.6593,1.0
65,1.0,1.0,1.0,0.0054,0.6722,0.6573,0.6573,1.0
66,1.0,1.0,1.0,0.0,0.7509,0.7485,0.7485,1.0
67,1.0,1.0,1.0,0.0,0.7653,0.85,0.85,1.0
68,1.0,1.0,1.0,0.0,0.6972,0.8796,0.8796,1.0
69,1.0,1.0,1.0,0.0,0.6986,0.8971,0.8971,1.0
70,1.0,1.0,1.0,0.0,0.6721,0.894,0.894,1.0
71,1.0,1.0,1.0,0.0,0.7625,0.8808,0.8808,1.0
72,1.0,1.0,1.0,0.0,0.7856,0.8632,0.8632,1.0
73,1.0,1.0,1.0,0.0,0.7531,0.8661,0.8661,1.0
