natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.4379,0.7539,0.7539,1.0,1
1.0,1.0,1.0,0.0,0.4881,0.744,0.744,1.0,2
1.0,1.0,1.0,0.0,0.5678000000000001,0.6751,0.6751,1.0,3
1.0,1.0,1.0,0.0,0.5454,0.5173,0.5173,1.0,4
1.0,1.0,1.0,0.0,0.5184,0.3942,0.3942,1.0,5
1.0,1.0,1.0,0.0,0.4447,0.3035,0.3035,1.0,6
1.0,1.0,1.0,0.0106,0.3226,0.23,0.23,1.0,7
1.0,1.0,1.0,0.132354,0.19,0.1967,0.1967,1.0,8
1.0,1.0,1.0,0.328015,0.099,0.1741,0.1741,1.0,9
1.0,1.0,1.0,0.5478553333333332,0.045566666666666665,0.16886666666666664,0.16886666666666664,1.0,10
1.0,1.0,1.0,0.395351,0.064,0.2183,0.2183,1.0,11
1.0,1.0,1.0,0.257541,0.1152,0.3286,0.3286,1.0,12
1.0,1.0,1.0,0.09329,0.1474,0.4628,0.4628,1.0,13
1.0,1.0,1.0,0.007403,0.2217,0.5918,0.5918,1.0,14
1.0,1.0,1.0,0.0005438,0.44260000000000005,0.8634133333333333,0.8634133333333333,1.0,15
1.0,1.0,1.0,0.091806,0.4438,0.8948,0.8948,1.0,16
1.0,1.0,1.0,0.213239,0.4665,0.8896,0.8896,1.0,17
1.0,1.0,1.0,0.34616399999999997,0.40886666666666666,0.8950666666666667,0.8950666666666667,1.0,18
1.0,1.0,1.0,0.278584,0.6075,0.9033,0.9033,1.0,19
1.0,1.0,1.0,0.17026,0.4939,0.9009,0.9009,1.0,20
1.0,1.0,1.0,0.004675285714285714,0.7597857142857142,0.7902857142857143,0.7902857142857143,1.0,21
1.0,1.0,1.0,0.0,0.6846,0.5888,0.5888,1.0,22
1.0,1.0,1.0,0.0,0.6541,0.6072,0.6072,1.0,23
1.0,1.0,1.0,0.010012,0.6064,0.6535,0.6535,1.0,24
1.0,1.0,1.0,0.132337,0.5331,0.6515,0.6515,1.0,25
1.0,1.0,1.0,0.338389,0.4898,0.6107,0.6107,1.0,26
1.0,1.0,1.0,0.48559949999999996,0.48240000000000005,0.57855,0.57855,1.0,27
1.0,1.0,1.0,0.482121,0.6012,0.5799,0.5799,1.0,28
1.0,1.0,1.0,0.352403,0.5939,0.5958,0.5958,1.0,29
1.0,1.0,1.0,0.222918,0.6467,0.6241,0.6241,1.0,30
1.0,1.0,1.0,0.055931,0.6452,0.6583,0.6583,1.0,31
1.0,1.0,1.0,0.0,0.7509,0.7485,0.7485,1.0,32
1.0,1.0,1.0,0.0007430714285714287,0.7163785714285714,0.8318071428571427,0.8318071428571427,1.0,33
1.0,1.0,1.0,0.104363,0.5348,0.6187,0.6187,1.0,34
1.0,1.0,1.0,0.250029,0.47235000000000005,0.5475,0.5475,1.0,35
1.0,1.0,1.0,0.3415275,0.41835,0.4554,0.4554,1.0,36
1.0,1.0,1.0,0.231042,0.33465,0.3569,0.3569,1.0,37
1.0,1.0,1.0,0.072045,0.2908,0.284,0.284,1.0,38
1.0,1.0,1.0,0.006393,0.2931,0.317,0.317,1.0,39
1.0,1.0,1.0,0.0,0.3401,0.3296,0.3296,1.0,40
1.0,1.0,1.0,0.0,0.3797,0.3879,0.3879,1.0,41
1.0,1.0,1.0,0.0,0.3333,0.4868,0.4868,1.0,42
1.0,1.0,1.0,0.0,0.4253,0.6133,0.6133,1.0,43
1.0,1.0,1.0,0.0,0.47369999999999995,0.7641142857142859,0.7641142857142859,1.0,44
1.0,1.0,1.0,0.0,0.3792,0.5803,0.5803,1.0,45
1.0,1.0,1.0,0.0,0.3882,0.4799,0.4799,1.0,46
1.0,1.0,1.0,0.0,0.4419,0.4074,0.4074,1.0,47
1.0,1.0,1.0,0.002791,0.3422,0.3899,0.3899,1.0,48
1.0,1.0,1.0,0.036361,0.2376,0.3688,0.3688,1.0,49
1.0,1.0,1.0,0.111709,0.2026,0.4186,0.4186,1.0,50
1.0,1.0,1.0,0.215701,0.2046,0.3972,0.3972,1.0,51
1.0,1.0,1.0,0.276724,0.2254,0.4331,0.4331,1.0,52
1.0,1.0,1.0,0.244795,0.3334,0.4198,0.4198,1.0,53
1.0,1.0,1.0,0.168974,0.4032,0.4838,0.4838,1.0,54
1.0,1.0,1.0,0.117418,0.5234,0.5401,0.5401,1.0,55
1.0,1.0,1.0,0.009265428571428572,0.5965428571428573,0.6018142857142857,0.6018142857142857,1.0,56
1.0,1.0,1.0,0.0,0.5394,0.6035,0.6035,1.0,57
1.0,1.0,1.0,0.0,0.6456999999999999,0.6224,0.6224,1.0,58
1.0,1.0,1.0,0.0,0.5193666666666666,0.4608333333333334,0.4608333333333334,1.0,59
1.0,1.0,1.0,0.0,0.3111,0.3228,0.3228,1.0,60
1.0,1.0,1.0,0.0,0.2,0.2518,0.2518,1.0,61
1.0,1.0,1.0,0.0,0.2034,0.2596,0.2596,1.0,62
1.0,1.0,1.0,0.005605,0.2102,0.2942,0.2942,1.0,63
1.0,1.0,1.0,0.07248,0.196,0.3736,0.3736,1.0,64
1.0,1.0,1.0,0.207934,0.1683,0.4916,0.4916,1.0,65
1.0,1.0,1.0,0.336476,0.1262,0.5978,0.5978,1.0,66
1.0,1.0,1.0,0.3520003333333333,0.11820000000000001,0.6984333333333334,0.6984333333333334,1.0,67
1.0,1.0,1.0,0.166859,0.0857,0.7471,0.7471,1.0,68
1.0,1.0,1.0,0.060628,0.0929,0.7451,0.7451,1.0,69
1.0,1.0,1.0,0.0021965,0.1873,0.7843,0.7843,1.0,70
1.0,1.0,1.0,0.0,0.23966666666666667,0.8356,0.8356,1.0,71
1.0,1.0,1.0,0.0,0.1508,0.8181,0.8181,1.0,72
1.0,1.0,1.0,0.0,0.1167,0.8149,0.8149,1.0,73
1.0,1.0,1.0,0.0,0.1463,0.7976,0.7976,1.0,74
1.0,1.0,1.0,0.0,0.15792,0.7324000000000002,0.7324000000000002,1.0,75
1.0,1.0,1.0,0.0,0.1031,0.5815,0.5815,1.0,76
1.0,1.0,1.0,0.0,0.0899,0.518,0.518,1.0,77
1.0,1.0,1.0,0.006808,0.0705,0.4534,0.4534,1.0,78
1.0,1.0,1.0,0.094072,0.0684,0.4954,0.4954,1.0,79
1.0,1.0,1.0,0.256919,0.0371,0.5456,0.5456,1.0,80
1.0,1.0,1.0,0.41483,0.0712,0.5623,0.5623,1.0,81
1.0,1.0,1.0,0.5415365,0.0912,0.59905,0.59905,1.0,82
1.0,1.0,1.0,0.436413,0.0494,0.6111,0.6111,1.0,83
1.0,1.0,1.0,0.25339,0.0554,0.6263,0.6263,1.0,84
1.0,1.0,1.0,0.095325,0.0765,0.6466,0.6466,1.0,85
1.0,1.0,1.0,0.0013992,0.31564,0.7139599999999999,0.7139599999999999,1.0,86
1.0,1.0,1.0,0.0,0.3737,0.7456,0.7456,1.0,87
1.0,1.0,1.0,0.0,0.479,0.73965,0.73965,1.0,88
1.0,1.0,1.0,0.0,0.58078,0.67034,0.67034,1.0,89
1.0,1.0,1.0,0.0,0.5424,0.5244,0.5244,1.0,90
1.0,1.0,1.0,0.0048925,0.47045000000000003,0.4362,0.4362,1.0,91
1.0,1.0,1.0,0.104374,0.4357,0.3986,0.3986,1.0,92
1.0,1.0,1.0,0.220517,0.3906,0.3867,0.3867,1.0,93
1.0,1.0,1.0,0.314449,0.38775,0.2755,0.2755,1.0,94
1.0,1.0,1.0,0.181068,0.3393,0.26,0.26,1.0,95
1.0,1.0,1.0,0.059437,0.3315,0.2894,0.2894,1.0,96
1.0,1.0,1.0,0.002593,0.3577,0.3216,0.3216,1.0,97
1.0,1.0,1.0,0.0,0.44792499999999996,0.476175,0.476175,1.0,98
1.0,1.0,1.0,0.0,0.526,0.5612,0.5612,1.0,99
1.0,1.0,1.0,0.0,0.5457,0.5444,0.5444,1.0,100
1.0,1.0,1.0,0.0,0.506675,0.47235000000000005,0.47235000000000005,1.0,101
1.0,1.0,1.0,0.0,0.5452,0.3637,0.3637,1.0,102
1.0,1.0,1.0,0.0,0.4257,0.3173,0.3173,1.0,103
1.0,1.0,1.0,0.0,0.3711,0.2518,0.2518,1.0,104
1.0,1.0,1.0,0.0,0.3987,0.2038,0.2038,1.0,105
1.0,1.0,1.0,0.006792,0.3524,0.1897,0.1897,1.0,106
1.0,1.0,1.0,0.073317,0.2336,0.1547,0.1547,1.0,107
1.0,1.0,1.0,0.174631,0.1293,0.1291,0.1291,1.0,108
1.0,1.0,1.0,0.28833375,0.06280000000000001,0.06609999999999999,0.06609999999999999,1.0,109
1.0,1.0,1.0,0.260786,0.1014,0.019,0.019,1.0,110
1.0,1.0,1.0,0.110087,0.1432,0.0299,0.0299,1.0,111
1.0,1.0,1.0,0.006601,0.2073,0.0526,0.0526,1.0,112
1.0,1.0,1.0,0.0,0.3498,0.09515000000000001,0.09515000000000001,1.0,113
1.0,1.0,1.0,0.0,0.51655,0.14525,0.14525,1.0,114
1.0,1.0,1.0,0.0,0.5374,0.1887,0.1887,1.0,115
1.0,1.0,1.0,0.0,0.6164,0.2108,0.2108,1.0,116
1.0,1.0,1.0,0.0,0.5039428571428571,0.18352857142857143,0.18352857142857143,1.0,117
1.0,1.0,1.0,0.0031005,0.49729999999999996,0.27185000000000004,0.27185000000000004,1.0,118
1.0,1.0,1.0,0.068874,0.5654,0.3515,0.3515,1.0,119
1.0,1.0,1.0,0.132204,0.5776,0.4213,0.4213,1.0,120
1.0,1.0,1.0,0.166445,0.5149,0.5071,0.5071,1.0,121
1.0,1.0,1.0,0.296206,0.4278,0.5678,0.5678,1.0,122
1.0,1.0,1.0,0.360215,0.4329,0.6569,0.6569,1.0,123
1.0,1.0,1.0,0.289152,0.4083,0.7158,0.7158,1.0,124
1.0,1.0,1.0,0.17197,0.2977,0.6991,0.6991,1.0,125
1.0,1.0,1.0,0.063004,0.3173,0.7756,0.7756,1.0,126
1.0,1.0,1.0,0.0005777777777777778,0.6718444444444445,0.8106333333333333,0.8106333333333333,1.0,127
1.0,1.0,1.0,0.0,0.7435,0.5799,0.5799,1.0,128
1.0,1.0,1.0,0.0,0.7239,0.5108,0.5108,1.0,129
1.0,1.0,1.0,0.0,0.6624,0.4543,0.4543,1.0,130
1.0,1.0,1.0,0.0,0.6403,0.3942,0.3942,1.0,131
1.0,1.0,1.0,0.0,0.546,0.3405,0.3405,1.0,132
1.0,1.0,1.0,0.0,0.5121,0.2871,0.2871,1.0,133
1.0,1.0,1.0,0.008391,0.4881,0.2308,0.2308,1.0,134
1.0,1.0,1.0,0.118667,0.2903,0.1903,0.1903,1.0,135
1.0,1.0,1.0,0.28385150000000003,0.1501,0.13565,0.13565,1.0,136
1.0,1.0,1.0,0.46437799999999996,0.09559999999999999,0.07865,0.07865,1.0,137
1.0,1.0,1.0,0.360582,0.0528,0.0467,0.0467,1.0,138
1.0,1.0,1.0,0.247626,0.0445,0.0328,0.0328,1.0,139
1.0,1.0,1.0,0.0401745,0.06375,0.02515,0.02515,1.0,140
1.0,1.0,1.0,0.0,0.18,0.10570000000000002,0.10570000000000002,1.0,141
1.0,1.0,1.0,0.0,0.1913,0.236,0.236,1.0,142
1.0,1.0,1.0,0.0,0.1689,0.2834,0.2834,1.0,143
1.0,1.0,1.0,0.0,0.1557,0.3304,0.3304,1.0,144
1.0,1.0,1.0,0.0,0.1713,0.4299,0.4299,1.0,145
1.0,1.0,1.0,0.0,0.2011,0.5601,0.5601,1.0,146
1.0,1.0,1.0,0.0,0.258525,0.7441249999999999,0.7441249999999999,1.0,147
1.0,1.0,1.0,0.015798588235294116,0.41688235294117654,0.8725882352941177,0.8725882352941177,1.0,148
1.0,1.0,1.0,0.0,0.2556333333333333,0.7493666666666666,0.7493666666666666,1.0,149
1.0,1.0,1.0,0.0,0.1814,0.6027,0.6027,1.0,150
1.0,1.0,1.0,0.03595075,0.22565000000000002,0.76085,0.76085,1.0,151
1.0,1.0,1.0,0.238923,0.21853333333333333,0.9051333333333332,0.9051333333333332,1.0,152
1.0,1.0,1.0,0.202241,0.3097,0.9086,0.9086,1.0,153
1.0,1.0,1.0,0.132751,0.3648,0.911,0.911,1.0,154
1.0,1.0,1.0,0.0044174705882352935,0.7518000000000001,0.9079764705882354,0.9079764705882354,1.0,155
1.0,1.0,1.0,0.073086,0.7837,0.9073,0.9073,1.0,156
1.0,1.0,1.0,0.178785,0.7849,0.901,0.901,1.0,157
1.0,1.0,1.0,0.335731,0.7415,0.8932,0.8932,1.0,158
1.0,1.0,1.0,0.470343,0.7129,0.8826,0.8826,1.0,159
1.0,1.0,1.0,0.570042,0.6593,0.882,0.882,1.0,160
1.0,1.0,1.0,0.460782,0.7192,0.8639,0.8639,1.0,161
1.0,1.0,1.0,0.340625,0.6795,0.8511,0.8511,1.0,162
1.0,1.0,1.0,0.135994,0.7498,0.8032,0.8032,1.0,163
1.0,1.0,1.0,0.0014001875,0.756675,0.8535250000000001,0.8535250000000001,1.0,164
1.0,1.0,1.0,0.143766,0.644,0.7995,0.7995,1.0,165
1.0,1.0,1.0,0.343683,0.6614,0.7761,0.7761,1.0,166
1.0,1.0,1.0,0.5238305000000001,0.6513500000000001,0.784,0.784,1.0,167
1.0,1.0,1.0,0.3570405,0.73665,0.7557499999999999,0.7557499999999999,1.0,168
1.0,1.0,1.0,0.274702,0.7343,0.7503,0.7503,1.0,169
1.0,1.0,1.0,0.106392,0.714,0.7364,0.7364,1.0,170
1.0,1.0,1.0,0.009603,0.7067,0.7246,0.7246,1.0,171
1.0,1.0,1.0,0.0,0.7787,0.7667,0.7667,1.0,172
1.0,1.0,1.0,0.0,0.789325,0.8407125000000001,0.8407125000000001,1.0,173
1.0,1.0,1.0,0.0,0.7575,0.6601,0.6601,1.0,174
1.0,1.0,1.0,0.0,0.7432,0.5843,0.5843,1.0,175
