Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
50000,1,1,1,2,8736,131040.0,1,12075.821835008783
,,,,,,69888.0,2,11436.043194743417
,,,,,,,3,10948.110750743564
,,,,,,,4,10701.10760481833
,,,,,,,5,10667.701441639916
,,,,,,,6,10865.101496785084
,,,,,,,7,11264.963146950937
,,,,,,,8,11611.47616682884
,,,,,,,9,12242.144035318275
,,,,,,,10,12853.578052280745
,,,,,,,11,13240.684621960298
,,,,,,,12,13397.99728129137
,,,,,,,13,13468.85883954861
,,,,,,,14,13336.955110392631
,,,,,,,15,13194.017224308029
,,,,,,,16,13260.829550664856
,,,,,,,17,14555.571450822139
,,,,,,,18,15773.782868061602
,,,,,,,19,15667.490530675743
,,,,,,,20,15192.718090352235
,,,,,,,21,14628.862548219626
,,,,,,,22,13840.274635614056
,,,,,,,23,12844.163588112284
,,,,,,,24,11763.018670701824
,,,,,,,25,10852.953801083842
,,,,,,,26,10308.332110478199
,,,,,,,27,10039.058189100688
,,,,,,,28,9984.393558445103
,,,,,,,29,10210.138236893166
,,,,,,,30,10766.907623200052
,,,,,,,31,11593.963238859551
,,,,,,,32,12267.04681150582
,,,,,,,33,13123.459358443319
,,,,,,,34,14010.949760216494
,,,,,,,35,14646.982860973978
,,,,,,,36,14920.204783454392
,,,,,,,37,14907.85462615813
,,,,,,,38,14790.831824236175
,,,,,,,39,14727.765037387231
,,,,,,,40,14941.665712526585
,,,,,,,41,16337.13225620666
,,,,,,,42,17729.561875961423
,,,,,,,43,17590.875683372255
,,,,,,,44,17158.62017800309
,,,,,,,45,16466.201523032345
,,,,,,,46,15379.995065746369
,,,,,,,47,14031.600842908605
,,,,,,,48,12790.511265431802
,,,,,,,49,11969.529497622923
,,,,,,,50,11557.520151755829
,,,,,,,51,11377.329332187419
,,,,,,,52,11420.858575116865
,,,,,,,53,11837.929460859477
,,,,,,,54,13048.649799083176
,,,,,,,55,15200.816554153063
,,,,,,,56,16402.729812993362
,,,,,,,57,16607.216023964254
,,,,,,,58,16757.442527469604
,,,,,,,59,16919.00688029611
,,,,,,,60,16961.0176612629
,,,,,,,61,16902.506260301925
,,,,,,,62,16860.49547933513
,,,,,,,63,16780.118226111917
,,,,,,,64,16992.50043928862
,,,,,,,65,18315.485731951285
,,,,,,,66,19747.091670342554
,,,,,,,67,19781.51014149607
,,,,,,,68,19444.41158578663
,,,,,,,69,18806.65756147147
,,,,,,,70,17691.094172907495
,,,,,,,71,16203.001449505455
,,,,,,,72,14898.136469597137
,,,,,,,73,14088.290089514396
,,,,,,,74,13663.120739970956
,,,,,,,75,13459.646836975167
,,,,,,,76,13494.065308128684
,,,,,,,77,13852.422331315298
,,,,,,,78,15005.441114958101
,,,,,,,79,17128.25093874999
,,,,,,,80,18240.06878780608
,,,,,,,81,18291.696494536354
,,,,,,,82,18268.10971871645
,,,,,,,83,18242.093403756287
,,,,,,,84,18087.210283565462
,,,,,,,85,17833.222212612018
,,,,,,,86,17675.09970690086
,,,,,,,87,17533.5790519814
,,,,,,,88,17702.33079143114
,,,,,,,89,18922.263132228283
