Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,2,8736,131040.0,1,12075.821835008783,1,1,0,1
,,,,,,69888.0,2,11070.643400358585,1,0,1,7
,,,,,,,3,12242.144035318275,1,0,1,1
,,,,,,,4,12853.578052280745,1,0,1,1
,,,,,,,5,13369.18024760009,1,0,1,3
,,,,,,,6,13336.955110392631,1,0,1,1
,,,,,,,7,13194.017224308029,1,0,1,1
,,,,,,,8,12667.574453760557,1,0,1,19
,,,,,,,9,14825.0140901955,1,0,1,3
,,,,,,,10,14672.608714286598,1,0,1,21
,,,,,,,11,16927.51026728698,1,0,1,3
,,,,,,,12,16860.49547933513,1,0,1,1
,,,,,,,13,16780.118226111917,1,0,1,1
,,,,,,,14,16518.3056099862,1,0,1,17
,,,,,,,15,18291.696494536354,1,0,1,1
,,,,,,,16,18107.658904662556,1,0,1,4
,,,,,,,17,17604.33937944113,1,0,1,2
,,,,,,,18,17702.33079143114,1,0,1,1
,,,,,,,19,16233.046750206524,1,0,1,20
,,,,,,,20,16900.684105946737,1,0,1,1
,,,,,,,21,16803.907463526848,1,0,1,1
,,,,,,,22,15056.12882142578,1,0,1,42
,,,,,,,23,14114.812558462107,1,0,1,1
,,,,,,,24,14650.728400481861,1,0,1,1
,,,,,,,25,14805.813982267704,1,0,1,1
,,,,,,,26,14547.928525610107,1,0,1,2
,,,,,,,27,14102.968555153397,1,0,1,1
,,,,,,,28,13873.174644804918,1,0,1,1
,,,,,,,29,14001.535296048032,1,0,1,1
,,,,,,,30,12858.905322999728,1,0,1,16
,,,,,,,31,13081.549808274038,1,0,1,1
,,,,,,,32,13784.80015857839,1,0,1,1
,,,,,,,33,14432.70257034396,1,0,1,4
,,,,,,,34,14393.399713210569,1,0,1,1
,,,,,,,35,15103.113260586735,1,0,1,26
,,,,,,,36,18554.592875670714,1,0,1,2
,,,,,,,37,14848.501411196803,1,0,1,19
,,,,,,,38,15879.771513054931,1,0,1,1
,,,,,,,39,15144.245158326463,1,0,1,67
,,,,,,,40,16129.62936746996,1,0,1,5
,,,,,,,41,14857.393483856307,1,0,1,21
,,,,,,,42,15692.292076065776,1,0,1,1
,,,,,,,43,15021.642863073925,1,0,1,21
,,,,,,,44,16721.25251735965,1,0,1,2
,,,,,,,45,16205.091865474038,1,0,1,20
,,,,,,,46,17880.395764251833,1,0,1,1
,,,,,,,47,18289.773109383663,1,0,1,1
,,,,,,,48,18039.99623960664,1,0,1,5
,,,,,,,49,17572.147985832842,1,0,1,1
,,,,,,,50,15552.188652311459,1,0,1,64
,,,,,,,51,17939.008396010326,1,0,1,1
,,,,,,,52,17876.751455541464,1,0,1,1
,,,,,,,53,17790.70527765767,1,0,1,1
,,,,,,,54,17283.58959752961,1,0,1,6
,,,,,,,55,19037.463779795053,1,0,1,1
,,,,,,,56,15564.088169283323,1,0,1,62
,,,,,,,57,15370.074447590356,1,0,1,1
,,,,,,,58,15943.344453891426,1,0,1,1
,,,,,,,59,16167.31759338306,1,0,1,2
