Time_Index,NG,nuclear_fuel,NGCCS
0,0.056877747,0.0,0.005388525
1,8.661,0.66,9.61608
2,8.661,0.66,9.616079999999998
3,8.661,0.66,9.61608
4,8.661,0.66,9.61608
5,8.661,0.66,9.61608
6,8.661,0.66,9.61608
7,8.661,0.66,9.61608
8,8.661,0.66,9.616080000000002
9,8.661,0.66,9.61608
10,8.661,0.66,9.616080000000002
11,8.661,0.66,9.61608
12,8.661,0.66,9.61608
13,8.661,0.66,9.61608
14,8.661,0.66,9.61608
15,8.661,0.66,9.61608
16,8.661,0.66,9.61608
17,8.661,0.66,9.61608
18,8.661,0.66,9.61608
19,8.661,0.66,9.616080000000002
20,8.661,0.66,9.61608
21,8.661,0.66,9.61608
22,8.661,0.66,9.616080000000007
23,8.661,0.66,9.61608
24,8.661,0.66,9.61608
25,8.661,0.66,9.61608
26,8.661,0.66,9.61608
27,8.661,0.66,9.61608
28,8.661,0.66,9.61608
29,8.661,0.66,9.61608
30,8.661,0.66,9.61608
31,8.661,0.66,9.61608
32,8.661,0.66,9.61608
33,8.661,0.66,9.61608
34,8.661,0.66,9.61608
35,8.661,0.66,9.616080000000004
36,8.661,0.66,9.61608
37,8.661,0.66,9.616080000000002
38,8.661,0.66,9.61608
39,8.660999999999994,0.6599999999999991,9.616080000000007
40,8.661,0.66,9.61608
41,8.661,0.66,9.616080000000002
42,8.661,0.66,9.61608
43,8.661,0.66,9.616080000000002
44,8.661,0.66,9.61608
45,8.661,0.66,9.616080000000002
46,8.661,0.66,9.61608
47,8.661,0.66,9.61608
48,8.661,0.66,9.61608
49,8.661,0.66,9.61608
50,8.660999999999996,0.6599999999999993,9.616080000000007
51,8.661,0.66,9.61608
52,8.661,0.66,9.61608
53,8.661,0.66,9.61608
54,8.661,0.66,9.616079999999998
55,8.661,0.66,9.61608
56,8.660999999999998,0.6599999999999994,9.616080000000007
57,8.661,0.66,9.61608
58,8.661,0.66,9.61608
59,8.661,0.66,9.61608
60,8.661,0.66,9.61608
61,8.661,0.66,9.616080000000007
62,8.661,0.66,9.61608
63,8.661,0.66,9.61608
64,8.661,0.66,9.61608
65,8.661,0.66,9.61608
66,8.661,0.66,9.61608
67,8.661,0.66,9.61608
68,8.661,0.66,9.616080000000002
69,8.661,0.66,9.61608
70,8.661,0.66,9.61608
71,8.661,0.66,9.61608
72,8.661,0.66,9.61608
73,8.660999999999996,0.6599999999999993,9.616080000000007
74,8.661,0.66,9.61608
75,8.661,0.66,9.61608
76,8.661,0.66,9.61608
77,8.661,0.66,9.61608
78,8.661,0.66,9.61608
79,8.661,0.66,9.61608
80,8.661,0.66,9.61608
81,8.661,0.66,9.61608
82,8.661,0.66,9.61608
83,8.661,0.66,9.61608
84,8.661,0.66,9.61608
85,8.661,0.66,9.61608
86,8.661,0.66,9.61608
87,8.661,0.66,9.61608
88,8.661,0.66,9.616080000000002
89,8.661,0.66,9.61608
90,8.661,0.66,9.61608
91,8.661,0.66,9.616080000000006
92,8.661,0.66,9.61608
93,8.661,0.66,9.61608
94,8.274999999999991,0.6599999999999996,9.23007999999999
95,8.275,0.66,9.23008
96,8.275,0.66,9.23008
97,8.275,0.66,9.23008
98,8.275,0.66,9.23008
99,8.275000000000002,0.66,9.230079999999996
100,8.275,0.66,9.23008
101,8.275,0.66,9.23008
102,8.275000000000004,0.66,9.230079999999994
103,8.275,0.66,9.23008
104,8.275000000000002,0.66,9.230079999999997
105,8.275,0.66,9.23008
106,8.275,0.66,9.23008
107,8.275000000000004,0.66,9.230079999999994
108,8.275,0.66,9.23008
109,8.274999999999988,0.6599999999999989,9.230080000000003
110,8.275,0.66,9.23008
111,8.275,0.66,9.23008
112,8.275,0.66,9.23008
113,8.275,0.66,9.23008
114,8.275,0.66,9.23008
115,8.27500000000002,0.6599999999999975,9.230080000000028
116,8.275,0.66,9.23008
117,8.275,0.66,9.23008
118,8.275,0.66,9.23008
119,8.275,0.66,9.23008
120,8.275,0.66,9.23008
121,8.275,0.66,9.23008
122,8.275,0.66,9.23008
123,8.275000000000002,0.66,9.230079999999997
124,8.275,0.66,9.23008
125,8.275000000000004,0.66,9.230079999999994
126,8.275,0.66,9.23008
127,8.275,0.66,9.23008
128,8.275,0.66,9.23008
129,8.275,0.66,9.23008
130,8.275,0.66,9.23008
131,8.275,0.66,9.23008
132,8.275000000000002,0.66,9.230079999999997
133,8.275,0.66,9.23008
134,8.275,0.66,9.23008
135,8.275000000000004,0.66,9.230079999999994
136,8.275,0.66,9.23008
137,8.275,0.66,9.23008
138,8.275,0.66,9.23008
139,8.275,0.66,9.23008
140,8.275000000000002,0.66,9.230079999999997
141,8.275,0.66,9.23008
142,8.275,0.66,9.23008
