natural_gas,natural_gas_ccs,nuclear,solar_pv,onshore_wind,fixed_offshore_wind,float_offshore_wind,battery,Time_Index
1.0,1.0,1.0,0.0,0.4379,0.7539,0.7539,1.0,1
1.0,1.0,1.0,0.0015142857142857143,0.49354285714285717,0.5056,0.5056,1.0,2
1.0,1.0,1.0,0.132354,0.19,0.1967,0.1967,1.0,3
1.0,1.0,1.0,0.328015,0.099,0.1741,0.1741,1.0,4
1.0,1.0,1.0,0.5478553333333332,0.045566666666666665,0.16886666666666664,0.16886666666666664,1.0,5
1.0,1.0,1.0,0.395351,0.064,0.2183,0.2183,1.0,6
1.0,1.0,1.0,0.257541,0.1152,0.3286,0.3286,1.0,7
1.0,1.0,1.0,0.021783947368421052,0.4167578947368421,0.8310631578947367,0.8310631578947367,1.0,8
1.0,1.0,1.0,0.34616399999999997,0.40886666666666666,0.8950666666666667,0.8950666666666667,1.0,9
1.0,1.0,1.0,0.04738266666666667,0.7003047619047619,0.7609476190476189,0.7609476190476189,1.0,10
1.0,1.0,1.0,0.48444,0.522,0.5790000000000001,0.5790000000000001,1.0,11
1.0,1.0,1.0,0.352403,0.5939,0.5958,0.5958,1.0,12
1.0,1.0,1.0,0.222918,0.6467,0.6241,0.6241,1.0,13
1.0,1.0,1.0,0.007192058823529412,0.7100352941176469,0.8064941176470587,0.8064941176470587,1.0,14
1.0,1.0,1.0,0.104363,0.5348,0.6187,0.6187,1.0,15
1.0,1.0,1.0,0.29577825,0.44535,0.50145,0.50145,1.0,16
1.0,1.0,1.0,0.231042,0.33465,0.3569,0.3569,1.0,17
1.0,1.0,1.0,0.072045,0.2908,0.284,0.284,1.0,18
1.0,1.0,1.0,0.032483950000000004,0.375455,0.54793,0.54793,1.0,19
1.0,1.0,1.0,0.244795,0.3334,0.4198,0.4198,1.0,20
1.0,1.0,1.0,0.168974,0.4032,0.4838,0.4838,1.0,21
1.0,1.0,1.0,0.04998714285714285,0.2999285714285713,0.6162714285714286,0.6162714285714286,1.0,22
1.0,1.0,1.0,0.094072,0.0684,0.4954,0.4954,1.0,23
1.0,1.0,1.0,0.256919,0.0371,0.5456,0.5456,1.0,24
1.0,1.0,1.0,0.41483,0.0712,0.5623,0.5623,1.0,25
1.0,1.0,1.0,0.5415365,0.0912,0.59905,0.59905,1.0,26
1.0,1.0,1.0,0.436413,0.0494,0.6111,0.6111,1.0,27
1.0,1.0,1.0,0.25339,0.0554,0.6263,0.6263,1.0,28
1.0,1.0,1.0,0.095325,0.0765,0.6466,0.6466,1.0,29
1.0,1.0,1.0,0.0010488125,0.45606874999999997,0.65895,0.65895,1.0,30
1.0,1.0,1.0,0.104374,0.4357,0.3986,0.3986,1.0,31
1.0,1.0,1.0,0.220517,0.3906,0.3867,0.3867,1.0,32
1.0,1.0,1.0,0.314449,0.38775,0.2755,0.2755,1.0,33
1.0,1.0,1.0,0.181068,0.3393,0.26,0.26,1.0,34
1.0,1.0,1.0,0.07106073076923078,0.33609230769230763,0.28795000000000004,0.28795000000000004,1.0,35
1.0,1.0,1.0,0.0,0.3498,0.09515000000000001,0.09515000000000001,1.0,36
1.0,1.0,1.0,0.06943668421052633,0.5071578947368421,0.3020421052631579,0.3020421052631579,1.0,37
1.0,1.0,1.0,0.17197,0.2977,0.6991,0.6991,1.0,38
1.0,1.0,1.0,0.04168144776119403,0.3587149253731344,0.5945223880597015,0.5945223880597015,1.0,39
1.0,1.0,1.0,0.2103522,0.26602,0.907,0.907,1.0,40
1.0,1.0,1.0,0.053954380952380955,0.752552380952381,0.9057000000000001,0.9057000000000001,1.0,41
1.0,1.0,1.0,0.570042,0.6593,0.882,0.882,1.0,42
1.0,1.0,1.0,0.06891680952380952,0.7409857142857144,0.8452476190476188,0.8452476190476188,1.0,43
1.0,1.0,1.0,0.5238305000000001,0.6513500000000001,0.784,0.784,1.0,44
1.0,1.0,1.0,0.055748200000000005,0.75125,0.684715,0.684715,1.0,45
1.0,1.0,1.0,0.134161,0.5445,0.1441,0.1441,1.0,46
1.0,1.0,1.0,0.325662,0.3861,0.0907,0.0907,1.0,47
1.0,1.0,1.0,0.46351819999999994,0.18270000000000003,0.04898,0.04898,1.0,48
1.0,1.0,1.0,0.092988,0.2251,0.2452,0.2452,1.0,49
1.0,1.0,1.0,0.065488421875,0.5795265624999999,0.8266453124999995,0.8266453124999995,1.0,50
1.0,1.0,1.0,0.129585,0.1466,0.3298,0.3298,1.0,51
1.0,1.0,1.0,0.262988,0.1189,0.2512,0.2512,1.0,52
1.0,1.0,1.0,0.417347,0.0603,0.209,0.209,1.0,53
1.0,1.0,1.0,0.33016016666666664,0.12121666666666665,0.08875,0.08875,1.0,54
1.0,1.0,1.0,0.0,0.2514,0.1661,0.1661,1.0,55
1.0,1.0,1.0,0.04226067741935484,0.4209193548387096,0.6033209677419354,0.6033209677419354,1.0,56
1.0,1.0,1.0,0.089403,0.2127,0.621,0.621,1.0,57
