Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Rep_Period,START_SUBPERIODS,INTERIOR_SUBPERIODS,Rel_TimeStep
50000,1,1,1,4,8736,96096.0,1,13067.837739359467,1,1,0,1
,,,,,,26208.0,2,15263.169210100592,1,0,1,1415
,,,,,,34944.0,3,14704.222308037668,1,0,1,6600
,,,,,,43680.0,4,14867.012657034273,1,0,1,720
,,,,,,,5,12600.665784427052,2,1,0,1
,,,,,,,6,15765.888053476632,2,0,1,1415
,,,,,,,7,14868.865332830746,2,0,1,6600
,,,,,,,8,15665.21454028898,2,0,1,720
,,,,,,,9,11907.893697411891,3,1,0,1
,,,,,,,10,14579.964194073327,3,0,1,1415
,,,,,,,11,14276.419905358567,3,0,1,6600
,,,,,,,12,14535.524374461334,3,0,1,720
,,,,,,,13,11421.747373848377,4,1,0,1
,,,,,,,14,13780.686207806395,4,0,1,1415
,,,,,,,15,13255.915555333922,4,0,1,6600
,,,,,,,16,13890.409306026519,4,0,1,720
