MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.0,1,0.47914353950000005,0.0,1,0.816354803625,1,1,1,1
1,0.1779,1,0.329338044,0.2003,1,0.526324749,1,1,1,2
1,0.429,1,1.52e-05,0.4221,1,0.079201177,1,1,1,3
1,0.15376686746987953,1,0.6035115619759036,0.15973192771084338,1,0.5596143018915662,1,1,1,4
1,0.2056,1,0.796525359,0.1964,1,0.616902471,1,1,1,5
1,0.4097,1,0.6475963,0.35,1,0.659731388,1,1,1,6
1,0.54234,1,0.826787603,0.50158,1,0.47601063239999997,1,1,1,7
1,0.1304681081081081,1,0.633542633464865,0.1397264864864865,1,0.7002719898540541,1,1,1,8
1,0.2391,1,0.058440641,0.2371,1,0.694000363,1,1,1,9
1,0.4586,1,0.001883788,0.4656,1,0.494121283,1,1,1,10
1,0.1358237931034483,1,0.5585969657827586,0.1338906896551724,1,0.6653567744551724,1,1,1,11
1,0.5597,1,0.021236544,0.6758,1,0.422075212,1,1,1,12
1,0.64095,1,0.3719397335,0.66385,1,0.1716691405,1,1,1,13
1,0.4365,1,0.974582016,0.3833,1,0.189681008,1,1,1,14
1,0.195,1,0.989060044,0.1751,1,0.334965825,1,1,1,15
1,0.1728493670886076,1,0.6867770682658229,0.1820987341772152,1,0.5621698449493671,1,1,1,16
1,0.17754310344827584,1,0.557818931795977,0.18168060344827586,1,0.6482681340632184,1,1,1,17
1,0.1106049382716049,1,0.4445437246790124,0.11768888888888888,1,0.5945604903703704,1,1,1,18
1,0.5627,1,0.646394074,0.584,1,0.647287786,1,1,1,19
1,0.22616190476190473,1,0.7691910763333334,0.23556190476190475,1,0.783326396,1,1,1,20
1,0.156,1,0.570405245,0.166,1,0.758821309,1,1,1,21
1,0.2233621052631579,1,0.7790481340526315,0.22991684210526314,1,0.6824452287578948,1,1,1,22
1,0.1557,1,0.938784659,0.1773,1,0.49563694,1,1,1,23
1,0.1987695652173913,1,0.3978819403913043,0.23927826086956525,1,0.25057134400000003,1,1,1,24
1,0.1634,1,0.904002309,0.1727,1,0.947718859,1,1,1,25
1,0.3936,1,0.959290564,0.403,1,0.855734825,1,1,1,26
1,0.63395,1,0.8786536008750001,0.6473375,1,0.463790066625,1,1,1,27
1,0.1252,1,0.785220444,0.1701,1,0.591436982,1,1,1,28
1,0.1705592356687898,1,0.3812039805605096,0.1821484076433121,1,0.41049161487261143,1,1,1,29
1,0.1781,1,0.430206776,0.1668,1,0.878085494,1,1,1,30
1,0.3859,1,0.129357621,0.3594,1,0.643517971,1,1,1,31
1,0.6454571428571428,1,0.04557766785714285,0.6337428571428572,1,0.4673402182857142,1,1,1,32
1,0.3592,1,0.216820419,0.4068,1,0.66914618,1,1,1,33
1,0.2021268656716418,1,0.39176617593283586,0.2018858208955224,1,0.6523372973358209,1,1,1,34
1,0.1681,1,0.35289073,0.2003,1,0.043213755,1,1,1,35
1,0.19678990384615383,1,0.44300500947115384,0.20215528846153846,1,0.4758946888509615,1,1,1,36
1,0.20577700534759358,1,0.45371198984692507,0.21542941176470592,1,0.520953646657754,1,1,1,37
1,0.4041,1,0.085320905,0.4498,1,0.696343899,1,1,1,38
1,0.211910599078341,1,0.31677340915391705,0.2206047926267281,1,0.37946773231336406,1,1,1,39
1,0.3179,1,0.909441948,0.2005,1,0.565150857,1,1,1,40
1,0.18991647286821706,1,0.23570186960852713,0.19516346899224807,1,0.3292811165271317,1,1,1,41
