MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.0,1,0.47914353950000005,0.0,1,0.816354803625,1,1,1,1
1,0.1779,1,0.329338044,0.2003,1,0.526324749,1,1,1,2
1,0.429,1,1.52e-05,0.4221,1,0.079201177,1,1,1,3
1,0.6146666666666666,1,0.029139781666666666,0.6148,1,0.014553042,1,1,1,4
1,0.54865,1,0.333835274,0.5667500000000001,1,0.026888937,1,1,1,5
1,0.3311,1,0.38522929,0.3369,1,0.089363858,1,1,1,6
1,0.0642,1,0.25948137,0.1068,1,0.198931903,1,1,1,7
1,0.0,1,0.7420385917333334,0.0,1,0.8546767353333332,1,1,1,8
1,0.16,1,0.655076563,0.1615,1,0.907849193,1,1,1,9
1,0.1616,1,0.831267045893617,0.17094893617021278,1,0.8789206020212765,1,1,1,10
1,0.2277,1,0.378751755,0.2204,1,0.823099732,1,1,1,11
1,0.4502,1,0.383687705,0.4435,1,0.801250398,1,1,1,12
1,0.6046,1,0.43698281,0.5641,1,0.801717401,1,1,1,13
1,0.6320250000000001,1,0.00689722525,0.597025,1,0.2080309875,1,1,1,14
1,0.3343,1,0.002060085,0.305,1,0.071392164,1,1,1,15
1,0.028,1,5.04e-05,0.0783,1,0.033698864,1,1,1,16
1,0.082915,1,0.359088025425,0.085865,1,0.40785440565000003,1,1,1,17
1,0.2939,1,0.832901537,0.4082,1,0.242370129,1,1,1,18
1,0.5036,1,0.784772754,0.5689,1,0.246076912,1,1,1,19
1,0.10571428571428572,1,0.6405972085714285,0.11461428571428572,1,0.34709706552380953,1,1,1,20
1,0.1883,1,0.232314631,0.1888,1,0.156356975,1,1,1,21
1,0.4067,1,0.527668715,0.418,1,0.096909747,1,1,1,22
1,0.59544,1,0.5579944313999999,0.60844,1,0.0905151472,1,1,1,23
1,0.299,1,0.400899559,0.316,1,0.140837073,1,1,1,24
1,0.00345625,1,0.8321374208125,0.007175,1,0.5732093220000001,1,1,1,25
1,0.2056,1,0.796525359,0.1964,1,0.616902471,1,1,1,26
1,0.4097,1,0.6475963,0.35,1,0.659731388,1,1,1,27
1,0.54234,1,0.826787603,0.50158,1,0.47601063239999997,1,1,1,28
1,0.11515454545454547,1,0.34474807486363634,0.1212909090909091,1,0.4366601541818182,1,1,1,29
1,0.7654,1,0.063318081,0.7914,1,0.1468952,1,1,1,30
1,0.06855789473684211,1,0.31698391826315797,0.07273157894736841,1,0.7958910707894736,1,1,1,31
1,0.3428,1,0.131348357,0.3614,1,0.802557707,1,1,1,32
1,0.4884,1,0.2746066,0.5374,1,0.7151353954999999,1,1,1,33
1,0.60345,1,0.419120267,0.5589,1,0.4981611965,1,1,1,34
1,0.5176,1,0.579014182,0.4279,1,0.620525122,1,1,1,35
1,0.0737910447761194,1,0.537962380880597,0.09130298507462686,1,0.5644957928059703,1,1,1,36
1,0.2869,1,0.705251694,0.4189,1,0.396006346,1,1,1,37
1,0.4127,1,0.98025769,0.4948,1,0.389075994,1,1,1,38
1,0.1595220588235294,1,0.9368839976470588,0.16168823529411763,1,0.9149851869852941,1,1,1,39
1,0.2391,1,0.058440641,0.2371,1,0.694000363,1,1,1,40
1,0.4586,1,0.001883788,0.4656,1,0.494121283,1,1,1,41
1,0.6608333333333334,1,0.09016003966666668,0.6410666666666667,1,0.16977244633333333,1,1,1,42
1,0.6136,1,0.439520001,0.6058,1,0.120706722,1,1,1,43
