Period_Index,Rep_Period,Rep_Period_Index
1,17,1
2,17,1
3,17,1
4,17,1
5,17,1
6,17,1
7,17,1
8,17,1
9,17,1
10,17,1
11,17,1
12,17,1
13,17,1
14,17,1
15,17,1
16,17,1
17,17,1
18,17,1
19,17,1
20,17,1
21,17,1
22,17,1
23,17,1
24,17,1
25,17,1
26,17,1
27,17,1
28,17,1
29,17,1
30,17,1
31,17,1
32,17,1
33,17,1
34,17,1
35,132,4
36,132,4
37,132,4
38,132,4
39,132,4
40,132,4
41,17,1
42,132,4
43,17,1
44,132,4
45,132,4
46,132,4
47,132,4
48,132,4
49,132,4
50,132,4
51,132,4
52,132,4
53,132,4
54,132,4
55,132,4
56,132,4
57,132,4
58,132,4
59,132,4
60,132,4
61,132,4
62,132,4
63,132,4
64,132,4
65,132,4
66,132,4
67,132,4
68,132,4
69,132,4
70,132,4
71,132,4
72,132,4
73,132,4
74,132,4
75,92,2
76,132,4
77,132,4
78,132,4
79,132,4
80,132,4
81,132,4
82,132,4
83,132,4
84,132,4
85,132,4
86,92,2
87,92,2
88,132,4
89,132,4
90,92,2
91,92,2
92,92,2
93,92,2
94,92,2
95,92,2
96,92,2
97,92,2
98,92,2
99,99,3
100,92,2
101,132,4
102,92,2
103,92,2
104,92,2
105,132,4
106,92,2
107,92,2
108,92,2
109,92,2
110,92,2
111,92,2
112,92,2
113,92,2
114,92,2
115,92,2
116,132,4
117,92,2
118,92,2
119,132,4
120,92,2
121,132,4
122,92,2
123,132,4
124,92,2
125,92,2
126,132,4
127,132,4
128,132,4
129,132,4
130,132,4
131,132,4
132,132,4
133,132,4
134,132,4
135,132,4
136,132,4
137,132,4
138,132,4
139,132,4
140,132,4
141,132,4
142,132,4
143,132,4
144,132,4
145,132,4
146,132,4
147,132,4
148,132,4
149,132,4
150,132,4
151,151,5
152,132,4
153,132,4
154,132,4
155,132,4
156,132,4
157,132,4
158,132,4
159,132,4
160,132,4
161,132,4
162,162,6
163,163,7
164,132,4
165,132,4
166,132,4
167,132,4
168,132,4
169,17,1
170,17,1
171,17,1
172,172,8
173,17,1
174,17,1
175,17,1
176,17,1
177,17,1
178,17,1
179,17,1
180,17,1
181,17,1
182,17,1
