MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Time_Index
1,0.0,1,0.47914353950000005,0.0,1,0.816354803625,1,1,1,1
1,0.1779,1,0.329338044,0.2003,1,0.526324749,1,1,1,2
1,0.429,1,1.52e-05,0.4221,1,0.079201177,1,1,1,3
1,0.6146666666666666,1,0.029139781666666666,0.6148,1,0.014553042,1,1,1,4
1,0.596,1,0.341097623,0.6205,1,0.018969901,1,1,1,5
1,0.5013,1,0.326572925,0.513,1,0.034807973,1,1,1,6
1,0.3311,1,0.38522929,0.3369,1,0.089363858,1,1,1,7
1,0.0642,1,0.25948137,0.1068,1,0.198931903,1,1,1,8
1,0.0,1,0.7420385917333334,0.0,1,0.8546767353333332,1,1,1,9
1,0.16,1,0.655076563,0.1615,1,0.907849193,1,1,1,10
1,0.3418,1,0.843971074,0.4263,1,0.964260221,1,1,1,11
1,0.543325,1,0.99630087625,0.597625,1,0.867441416,1,1,1,12
1,0.4677,1,0.998463929,0.4277,1,0.888284206,1,1,1,13
1,0.3193,1,0.957467973,0.3402,1,0.899303496,1,1,1,14
1,0.00626875,1,0.6210200888749999,0.00813125,1,0.7623291015,1,1,1,15
1,0.2147,1,0.731341124,0.1899,1,0.87292397,1,1,1,16
1,0.5487142857142857,1,0.9988984465714285,0.5653428571428571,1,0.9792567151428572,1,1,1,17
1,0.00856875,1,0.91403081275,0.01078125,1,0.94766675675,1,1,1,18
1,0.2277,1,0.378751755,0.2204,1,0.823099732,1,1,1,19
1,0.4502,1,0.383687705,0.4435,1,0.801250398,1,1,1,20
1,0.6046,1,0.43698281,0.5641,1,0.801717401,1,1,1,21
1,0.6320250000000001,1,0.00689722525,0.597025,1,0.2080309875,1,1,1,22
1,0.3343,1,0.002060085,0.305,1,0.071392164,1,1,1,23
1,0.028,1,5.04e-05,0.0783,1,0.033698864,1,1,1,24
1,0.0,1,0.36060650166666675,0.0,1,0.4788604428,1,1,1,25
1,0.1033,1,0.0359466,0.1154,1,0.391142845,1,1,1,26
1,0.2804,1,0.168909371,0.2997,1,0.372059673,1,1,1,27
1,0.5211333333333333,1,0.08704606466666666,0.5402666666666667,1,0.27572784833333336,1,1,1,28
1,0.44135,1,0.299890682,0.42400000000000004,1,0.3813332915,1,1,1,29
1,0.2948,1,0.742475271,0.3063,1,0.564464331,1,1,1,30
1,0.0897,1,0.870121062,0.1054,1,0.659781039,1,1,1,31
1,0.0,1,0.6253640575,0.0,1,0.713429332,1,1,1,32
1,0.0,1,0.002315517,0.0,1,0.167690724,1,1,1,33
1,0.0,1,0.08491238279999999,0.0,1,0.3607016594,1,1,1,34
1,0.0,1,0.4145725863333333,0.0,1,0.09365676100000002,1,1,1,35
1,0.0,1,0.563583791,0.0,1,0.099923894,1,1,1,36
1,0.0,1,0.845474541,0.0,1,0.154476166,1,1,1,37
1,0.1023,1,0.694941878,0.139,1,0.193684876,1,1,1,38
1,0.2939,1,0.832901537,0.4082,1,0.242370129,1,1,1,39
1,0.5036,1,0.784772754,0.5689,1,0.246076912,1,1,1,40
1,0.6073500000000001,1,0.5553147195,0.6067499999999999,1,0.231999636,1,1,1,41
1,0.4261,1,0.535089731,0.557,1,0.258899093,1,1,1,42
1,0.3649,1,0.20891723,0.3724,1,0.195579961,1,1,1,43
1,0.1992,1,0.3200486,0.1936,1,0.375185788,1,1,1,44
1,0.00094375,1,0.70486602375,0.0044,1,0.374710891375,1,1,1,45
