Period_Index,Rep_Period,Rep_Period_Index
1,1,1
2,2,2
3,10,4
4,1,1
5,10,4
6,10,4
7,7,3
8,2,2
9,7,3
10,10,4
11,10,4
12,12,5
13,12,5
14,12,5
15,12,5
16,24,8
17,19,7
18,18,6
19,19,7
20,24,8
21,24,8
22,18,6
23,169,39
24,24,8
25,18,6
26,18,6
27,18,6
28,24,8
29,18,6
30,19,7
31,33,9
32,33,9
33,33,9
34,154,34
35,44,11
36,40,10
37,40,10
38,40,10
39,40,10
40,40,10
41,33,9
42,40,10
43,154,34
44,44,11
45,40,10
46,44,11
47,48,12
48,48,12
49,56,14
50,89,20
51,52,13
52,52,13
53,56,14
54,52,13
55,52,13
56,56,14
57,48,12
58,52,13
59,154,34
60,52,13
61,83,17
62,62,15
63,62,15
64,134,29
65,134,29
66,143,31
67,67,16
68,83,17
69,83,17
70,123,27
71,83,17
72,101,23
73,83,17
74,123,27
75,83,17
76,89,20
77,143,31
78,83,17
79,101,23
80,62,15
81,134,29
82,83,17
83,83,17
84,123,27
85,123,27
86,86,18
87,87,19
88,83,17
89,89,20
90,90,21
91,90,21
92,110,25
93,110,25
94,110,25
95,90,21
96,90,21
97,111,26
98,110,25
99,99,22
100,87,19
101,101,23
102,90,21
103,103,24
104,110,25
105,101,23
106,110,25
107,110,25
108,111,26
109,103,24
110,110,25
111,111,26
112,110,25
113,110,25
114,110,25
115,87,19
116,123,27
117,110,25
118,110,25
119,101,23
120,90,21
121,83,17
122,83,17
123,123,27
124,90,21
125,110,25
126,143,31
127,143,31
128,123,27
129,134,29
130,123,27
131,142,30
132,123,27
133,133,28
134,134,29
135,83,17
136,62,15
137,133,28
138,62,15
139,101,23
140,143,31
141,62,15
142,142,30
143,143,31
144,144,32
145,143,31
146,142,30
147,133,28
148,143,31
149,62,15
150,62,15
151,151,33
152,143,31
153,62,15
154,154,34
155,155,35
156,89,20
157,155,35
158,158,36
159,155,35
160,158,36
161,158,36
162,162,37
163,163,38
164,158,36
165,155,35
166,155,35
167,155,35
168,169,39
169,169,39
170,18,6
171,169,39
172,172,40
173,169,39
174,24,8
175,24,8
176,19,7
177,18,6
178,18,6
179,19,7
180,24,8
181,19,7
182,24,8
