Time_Index,CT_NG,ME_NG,MA_NG
0,0.05306,0.05306,0.05306
1,5.45,5.45,5.28
2,5.45,5.45,5.28
3,5.45,5.45,5.28
4,5.45,5.45,5.28
5,5.45,5.45,5.28
6,5.45,5.45,5.28
7,5.45,5.45,5.28
8,5.45,5.45,5.28
9,5.450000000000001,5.450000000000001,5.28
10,5.45,5.45,5.28
11,5.45,5.45,5.28
12,5.45,5.45,5.28
13,5.45,5.45,5.28
14,5.45,5.45,5.28
15,5.45,5.45,5.28
16,5.45,5.45,5.28
17,5.450000000000001,5.450000000000001,5.28
18,5.45,5.45,5.28
19,5.45,5.45,5.28
20,5.45,5.45,5.28
21,5.45,5.45,5.28
22,5.45,5.45,5.28
23,5.45,5.45,5.28
24,5.45,5.45,5.28
25,5.450000000000001,5.450000000000001,5.28
26,5.45,5.45,5.28
27,5.45,5.45,5.28
28,5.45,5.45,5.28
29,5.45,5.45,5.28
30,5.45,5.45,5.28
31,5.45,5.45,5.28
32,5.45,5.45,5.28
33,5.45,5.45,5.28
34,5.45,5.45,5.28
35,5.45,5.45,5.28
36,5.45,5.45,5.28
37,5.45,5.45,5.28
38,5.45,5.45,5.28
39,5.45,5.45,5.28
40,5.45,5.45,5.28
41,5.45,5.45,5.28
42,5.45,5.45,5.28
43,5.45,5.45,5.28
44,5.45,5.45,5.28
45,5.45,5.45,5.28
46,5.45,5.45,5.28
47,5.45,5.45,5.28
48,5.45,5.45,5.28
49,5.45,5.45,5.28
50,5.45,5.45,5.28
51,5.45,5.45,5.28
52,5.45,5.45,5.28
53,5.450000000000001,5.450000000000001,5.28
54,5.45,5.45,5.28
55,5.45,5.45,5.28
56,5.45,5.45,5.28
57,5.45,5.45,5.28
58,5.45,5.45,5.28
59,5.45,5.45,5.28
60,5.45,5.45,5.28
61,5.45,5.45,5.28
62,5.450000000000001,5.450000000000001,5.28
63,5.45,5.45,5.28
64,5.45,5.45,5.28
65,5.45,5.45,5.28
66,5.45,5.45,5.28
67,5.45,5.45,5.28
68,5.45,5.45,5.28
69,5.450000000000001,5.450000000000001,5.28
70,5.45,5.45,5.28
71,5.45,5.45,5.28
72,5.45,5.45,5.28
73,5.45,5.45,5.28
74,5.45,5.45,5.28
75,5.45,5.45,5.28
76,5.45,5.45,5.28
77,5.45,5.45,5.28
78,5.450000000000001,5.450000000000001,5.28
79,5.45,5.45,5.28
80,5.45,5.45,5.28
81,5.45,5.45,5.28
82,5.449999999999998,5.449999999999998,5.28
83,5.45,5.45,5.28
84,5.45,5.45,5.28
85,5.45,5.45,5.28
86,5.45,5.45,5.28
87,5.45,5.45,5.28
88,5.45,5.45,5.28
89,5.45,5.45,5.28
90,5.45,5.45,5.28
91,5.45,5.45,5.28
92,5.45,5.45,5.28
93,5.45,5.45,5.28
94,5.450000000000001,5.450000000000001,5.28
95,5.45,5.45,5.28
96,5.45,5.45,5.28
97,5.450000000000001,5.450000000000001,5.28
98,5.45,5.45,5.28
99,5.45,5.45,5.28
100,5.45,5.45,5.28
101,5.45,5.45,5.28
102,5.45,5.45,5.28
103,5.45,5.45,5.28
104,5.45,5.45,5.28
105,5.45,5.45,5.28
106,5.45,5.45,5.28
107,5.45,5.45,5.28
108,5.45,5.45,5.28
109,5.45,5.45,5.28
110,5.45,5.45,5.28
111,5.450000000000001,5.450000000000001,5.28
112,5.450000000000001,5.450000000000001,5.28
113,5.45,5.45,5.28
114,5.45,5.45,5.28
115,5.45,5.45,5.28
116,5.45,5.45,5.28
117,5.45,5.45,5.28
118,5.45,5.45,5.28
119,5.45,5.45,5.28
120,5.450000000000001,5.450000000000001,5.28
121,5.45,5.45,5.28
122,5.45,5.45,5.28
123,5.45,5.45,5.28
124,5.45,5.45,5.28
125,5.45,5.45,5.28
126,5.45,5.45,5.28
127,5.45,5.45,5.28
128,5.450000000000001,5.450000000000001,5.28
129,5.45,5.45,5.28
130,5.45,5.45,5.28
131,5.45,5.45,5.28
132,5.45,5.45,5.28
133,5.45,5.45,5.28
134,5.450000000000001,5.450000000000001,5.28
135,5.45,5.45,5.28
136,5.45,5.45,5.28
137,5.45,5.45,5.28
138,5.45,5.45,5.28
139,5.45,5.45,5.28
140,5.45,5.45,5.28
141,5.45,5.45,5.28
142,5.45,5.45,5.28
143,5.45,5.45,5.28
144,5.45,5.45,5.28
145,5.45,5.45,5.28
146,5.45,5.45,5.28
147,5.45,5.45,5.28
148,5.45,5.45,5.28
149,5.45,5.45,5.28
150,5.450000000000001,5.450000000000001,5.28
151,5.45,5.45,5.28
152,5.45,5.45,5.28
153,5.45,5.45,5.28
154,5.45,5.45,5.28
155,5.45,5.45,5.28
156,5.450000000000001,5.450000000000001,5.28
157,5.45,5.45,5.28
158,5.45,5.45,5.28
159,5.45,5.45,5.28
160,5.45,5.45,5.28
161,5.45,5.45,5.28
162,5.45,5.45,5.28
163,5.449999999999998,5.449999999999998,5.28
164,5.45,5.45,5.28
165,5.45,5.45,5.28
