$/MWh,Cost_of_Demand_Curtailment_per_MW,Demand_Segment,Max_Demand_Curtailment,Rep_Periods,Sub_Weights,Timesteps_per_Rep_Period,Voll,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep,Rel_TimeStep
2000.0,1.0,1.0,1.0,1.0,8760.0,24.0,2000.0,1,433055,56250,158195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1800.0,0.9,2.0,0.04,,,,,2,406808,53975,151211,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1100.0,0.55,3.0,0.024,,,,,3,394480,51413,144460,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
400.0,0.2,4.0,0.003,,,,,4,389845,50217,137745,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,5,387098,49407,131059,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,6,392355,48847,129242,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,7,404654,49928,127643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,8,416313,52099,127594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,9,428156,53971,131035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,10,443175,56180,136863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
